Rank,Player,Team,Goals,Penalties,Minutes,Matches,Country
200,Lewis Miley,Newcastle United,1.0,0.0,1205,17,ENG
200,Lorenz Assignon,Burnley,1.0,0.0,1237,15,FRA
200,Luca Koleosho,Burnley,1.0,0.0,984,15,USA
200,Lucas Digne,Aston Villa,1.0,0.0,2410,33,FRA
200,Mads Juel Andersen,Luton Town,1.0,0.0,399,8,DEN
200,Mads Roerslev,Brentford,1.0,0.0,1987,34,DEN
200,Mason Mount,Manchester United,1.0,0.0,513,14,ENG
200,Mateo Kovacic,Manchester City,1.0,0.0,1548,30,CRO
200,Mathias Jørgensen,Brentford,1.0,0.0,1086,14,DEN
200,Matt Doherty,Wolverhampton Wanderers,1.0,0.0,1142,30,IRL
200,Matt Ritchie,Newcastle United,1.0,0.0,121,13,SCO
200,Maxwel Cornet,West Ham United,1.0,0.0,110,7,CIV
200,Michael Keane,Everton,1.0,0.0,438,9,ENG
200,Moisés Caicedo,Chelsea,1.0,0.0,2872,35,ECU
200,Moussa Niakhaté,Nottingham Forest,1.0,0.0,1457,21,SEN
200,Nathan Collins,Brentford,1.0,0.0,2649,32,IRL
200,Nayef Aguerd,West Ham United,1.0,0.0,1859,21,MAR
200,Ola Aina,Nottingham Forest,1.0,0.0,1700,22,NGA
200,Oleksandr Zinchenko,Arsenal,1.0,0.0,1722,27,UKR
200,Orel Mangala,Nottingham Forest,1.0,0.0,1569,20,BEL
200,Oscar Bobb,Manchester City,1.0,0.0,295,14,NOR
200,Raphaël Varane,Manchester United,1.0,0.0,1371,22,FRA
200,Rodrigo Bentancur,Tottenham Hotspur,1.0,0.0,1007,23,URU
200,Ryan Gravenberch,Liverpool,1.0,0.0,1121,26,NED
200,Ryan Yates,Nottingham Forest,1.0,0.0,1986,35,ENG
200,Saman Ghoddos,Brentford,1.0,0.0,729,19,IRN
200,Sander Berge,Burnley,1.0,0.0,3005,37,NOR
200,Sandro Tonali,Newcastle United,1.0,0.0,439,8,ITA
200,Sasa Lukic,Fulham,1.0,0.0,1119,24,SRB
200,Shandon Baptiste,Brentford,1.0,0.0,224,10,GRN
200,Teden Mengi,Luton Town,1.0,0.0,2470,30,ENG
200,Tim Ream,Fulham,1.0,0.0,1504,18,USA
200,Timothy Castagne,Fulham,1.0,0.0,2633,34,BEL
200,Tom Cairney,Fulham,1.0,0.0,1475,34,SCO
200,Tom Lockyer,Luton Town,1.0,0.0,1171,14,WAL
200,Toti Gomes,Wolverhampton Wanderers,1.0,0.0,2774,35,POR
200,Trevoh Chalobah,Chelsea,1.0,0.0,950,13,ENG
200,Valentino Livramento,Newcastle United,1.0,0.0,1305,26,ENG
200,Victor Nilsson Lindelöf,Manchester United,1.0,0.0,1332,19,SWE
200,Vinicius de Souza Costa,Sheffield United,1.0,0.0,2672,36,BRA
200,Vitaly Janelt,Brentford,1.0,0.0,3069,38,GER
200,Wataru Endo,Liverpool,1.0,0.0,1719,29,JPN
297,Fabio Vieira,Arsenal,1.0,1.0,292,11,POR
297,Oliver Norwood,Sheffield United,1.0,1.0,1433,27,NIR
