Rank,Player,Team,Accurate Long Balls per 90,Successful Long Balls (%),Minutes,Matches,Country
67,Danilo,Nottingham Forest,2.3,50.0,1796,29,BRA
68,Nathan Collins,Brentford,2.3,38.1,2649,32,IRL
69,John McGinn,Aston Villa,2.2,61.9,3009,35,SCO
70,Naouirou Ahamada,Crystal Palace,2.2,61.5,333,20,FRA
71,Boubacar Kamara,Aston Villa,2.2,60.3,1659,20,FRA
72,Declan Rice,Arsenal,2.2,55.3,3230,38,ENG
73,Diogo Dalot,Manchester United,2.2,51.3,3173,36,POR
74,Johann Berg Gudmundsson,Burnley,2.2,46.8,1191,26,ISL
75,Pedro Porro,Tottenham Hotspur,2.2,43.3,3092,35,ESP
76,Kurt Zouma,West Ham United,2.2,39.7,2838,33,FRA
77,Levi Colwill,Chelsea,2.2,38.4,1798,23,ENG
78,Jack Robinson,Sheffield United,2.2,36.5,2885,34,ENG
79,Bernardo Silva,Manchester City,2.1,63.4,2581,33,POR
80,Alexis Mac Allister,Liverpool,2.1,57.5,2609,33,ARG
81,Morgan Gibbs-White,Nottingham Forest,2.1,56.3,3160,37,ENG
82,Christian Nørgaard,Brentford,2.1,44.4,2513,31,DEN
83,Jarrad Branthwaite,Everton,2.1,40.1,3117,35,ENG
84,Youri Tielemans,Aston Villa,2.0,66.7,1620,32,BEL
85,Jakub Kiwior,Arsenal,2.0,50.0,945,20,POL
86,Gabriel,Arsenal,2.0,40.4,3044,36,BRA
87,Vitalii Mykolenko,Everton,2.0,40.3,2471,28,UKR
88,Alfie Doughty,Luton Town,2.0,39.1,2937,37,ENG
89,Charlie Taylor,Burnley,2.0,37.2,2332,28,ENG
90,Cristian Romero,Tottenham Hotspur,1.9,55.6,2792,33,ARG
91,Raphaël Varane,Manchester United,1.9,45.3,1371,22,FRA
92,Moussa Niakhaté,Nottingham Forest,1.9,38.3,1457,21,SEN
93,Reece Burke,Luton Town,1.9,33.3,1663,22,ENG
94,Willy Boly,Nottingham Forest,1.9,32.6,1443,20,CIV
95,Ashley Young,Everton,1.9,32.4,2288,31,ENG
96,Luis Sinisterra,Bournemouth,1.8,77.8,692,20,COL
97,Rodrigo Bentancur,Tottenham Hotspur,1.8,76.9,1007,23,URU
98,Oliver Skipp,Tottenham Hotspur,1.8,73.7,694,21,ENG
99,Yves Bissouma,Tottenham Hotspur,1.8,72.4,2081,28,MLI
100,Michael Olise,Crystal Palace,1.8,71.4,1277,19,FRA
101,James Maddison,Tottenham Hotspur,1.8,62.3,2152,28,ENG
102,William Saliba,Arsenal,1.8,54.0,3420,38,FRA
103,Mario Lemina,Wolverhampton Wanderers,1.8,50.4,2974,35,GAB
104,Victor Nilsson Lindelöf,Manchester United,1.8,49.1,1332,19,SWE
105,Vitaly Janelt,Brentford,1.8,45.5,3069,38,GER
106,Josh Brownhill,Burnley,1.8,45.4,2251,33,ENG
107,Nathaniel Clyne,Crystal Palace,1.8,43.3,1337,19,ENG
108,Boubacar Traore,Wolverhampton Wanderers,1.7,62.5,804,24,MLI
109,Jordan Clark,Luton Town,1.7,51.0,1306,23,ENG
110,Pablo Sarabia,Wolverhampton Wanderers,1.7,49.3,1748,30,ESP
111,Andreas Pereira,Fulham,1.7,46.7,2637,37,BRA
112,Joel Veltman,Brighton and Hove Albion,1.7,46.2,1582,27,NED
113,Timothy Castagne,Fulham,1.7,43.6,2633,34,BEL
114,Joel Ward,Crystal Palace,1.7,29.9,1982,26,ENG
115,Saman Ghoddos,Brentford,1.7,28.0,729,19,IRN
116,Mohammed Kudus,West Ham United,1.6,72.1,2483,33,GHA
117,Conor Gallagher,Chelsea,1.6,66.7,3135,37,ENG
118,Josko Gvardiol,Manchester City,1.6,63.1,2328,28,CRO
119,Harry Wilson,Fulham,1.6,61.7,1614,35,WAL
120,Micky van de Ven,Tottenham Hotspur,1.6,60.3,2342,27,NED
121,Nicolás Dominguez,Nottingham Forest,1.6,50.9,1503,26,ARG
122,Lewis Cook,Bournemouth,1.6,38.3,2792,33,ENG
123,Axel Disasi,Chelsea,1.6,35.4,2581,31,FRA
124,Anel Ahmedhodzic,Sheffield United,1.6,31.5,2649,31,BIH
125,Luis Diaz,Liverpool,1.5,78.6,2646,37,COL
126,Callum Hudson-Odoi,Nottingham Forest,1.5,68.9,1854,29,ENG
127,James Ward-Prowse,West Ham United,1.5,63.3,3005,37,ENG
128,Malo Gusto,Chelsea,1.5,61.2,1755,27,FRA
129,Wataru Endo,Liverpool,1.5,57.1,1719,29,JPN
130,Emerson Royal,Tottenham Hotspur,1.5,52.8,1155,22,BRA
131,Alex Iwobi,Fulham,1.5,48.8,2342,32,NGA
132,Jefferson Lerma,Crystal Palace,1.5,44.9,2403,28,COL
133,Josh Cullen,Burnley,1.5,43.8,2059,25,IRL
134,Ben White,Arsenal,1.5,41.1,2995,37,ENG
135,Max Aarons,Bournemouth,1.5,39.2,1234,20,ENG
136,Chris Richards,Crystal Palace,1.5,37.4,2091,26,USA
137,Kristoffer Vassbakk Ajer,Brentford,1.5,36.0,1833,28,NOR
138,Ben Osborn,Sheffield United,1.5,35.9,1359,24,ENG
139,Amari'i Bell,Luton Town,1.5,31.5,1722,21,JAM
140,Toti Gomes,Wolverhampton Wanderers,1.5,28.0,2774,35,POR
141,Harrison Reed,Fulham,1.4,56.8,1324,27,ENG
142,Sean Longstaff,Newcastle United,1.4,53.7,2746,35,ENG
143,James Garner,Everton,1.4,53.5,3005,37,ENG
144,Dwight McNeil,Everton,1.4,46.5,2897,35,ENG
145,Nélson Semedo,Wolverhampton Wanderers,1.4,33.1,3092,36,POR
146,Orel Mangala,Nottingham Forest,1.3,63.9,1569,20,BEL
147,Phil Foden,Manchester City,1.3,62.7,2865,35,ENG
148,Martin Ødegaard,Arsenal,1.3,60.8,3098,35,NOR
149,Ezri Konsa,Aston Villa,1.3,56.1,3073,35,ENG
150,Alex Scott,Bournemouth,1.3,51.7,1010,23,ENG
151,Igor,Brighton and Hove Albion,1.3,46.9,1636,24,BRA
152,Ryan Yates,Nottingham Forest,1.3,44.6,1986,35,ENG
153,Pelly-Ruddock Mpanzu,Luton Town,1.3,43.2,1093,27,COD
154,Vinicius de Souza Costa,Sheffield United,1.3,42.4,2672,36,BRA
155,Takehiro Tomiyasu,Arsenal,1.3,42.1,1143,22,JPN
156,Auston Trusty,Sheffield United,1.3,38.0,2572,32,USA
157,Dango Ouattara,Bournemouth,1.3,37.0,1220,30,BFA
158,Sergio Reguilon,Brentford,1.3,36.5,1534,25,ESP
159,Matty Cash,Aston Villa,1.3,35.6,2142,29,POL
160,Gustavo Hamer,Sheffield United,1.3,33.9,2923,36,NED
161,Gabriel Osho,Luton Town,1.3,31.0,1848,21,ENG
162,Pape Sarr,Tottenham Hotspur,1.2,70.0,2085,34,SEN
163,Eberechi Eze,Crystal Palace,1.2,69.2,2065,27,ENG
164,Leon Bailey,Aston Villa,1.2,65.9,2072,35,JAM
165,Carlos Baleba,Brighton and Hove Albion,1.2,62.1,1321,27,CMR
166,Mateo Kovacic,Manchester City,1.2,54.1,1548,30,CRO
167,Yegor Yarmolyuk,Brentford,1.2,50.0,675,27,UKR
168,Emerson,West Ham United,1.2,37.2,3142,36,ITA
169,Neco Williams,Nottingham Forest,1.2,24.4,1634,26,WAL
170,Ansu Fati,Brighton and Hove Albion,1.1,85.7,513,19,ESP
171,Jack Grealish,Manchester City,1.1,75.0,1003,20,ENG
172,Gabriel Martinelli,Arsenal,1.1,72.7,2029,35,BRA
173,Álex Moreno,Aston Villa,1.1,68.4,1030,21,ESP
174,Philip Billing,Bournemouth,1.1,58.6,1393,29,DEN
175,Andros Townsend,Luton Town,1.1,42.9,1209,27,ENG
176,Marcus Tavernier,Bournemouth,1.1,42.6,2129,30,ENG
176,Ola Aina,Nottingham Forest,1.1,42.6,1700,22,NGA
178,Frank Onyeka,Brentford,1.1,37.8,1155,26,NGA
179,Jonny Evans,Manchester United,1.1,32.1,1396,23,NIR
180,Jayden Bogle,Sheffield United,1.1,31.8,2792,34,ENG
181,Harry Toffolo,Nottingham Forest,1.1,25.8,1455,23,ENG
182,Vladimir Coufal,West Ham United,1.1,25.0,3136,36,CZE
183,Jacob Bruun Larsen,Burnley,1.0,66.7,1248,32,DEN
184,Neal Maupay,Brentford,1.0,64.0,1424,31,FRA
185,Pedro Neto,Wolverhampton Wanderers,1.0,58.6,1518,20,POR
186,Leandro Trossard,Arsenal,1.0,56.3,1646,34,BEL
187,Marcus Rashford,Manchester United,1.0,55.3,2278,33,ENG
188,Kobbie Mainoo,Manchester United,1.0,52.5,1939,24,ENG
189,Tomas Soucek,West Ham United,1.0,44.9,2874,37,CZE
190,Vitinho,Burnley,1.0,42.6,2316,32,BRA
191,Idrissa Gana Gueye,Everton,1.0,42.3,1892,25,SEN
192,Joao Gomes,Wolverhampton Wanderers,1.0,39.2,2658,34,BRA
193,Milos Kerkez,Bournemouth,1.0,32.4,1975,28,HUN
194,Tyrick Mitchell,Crystal Palace,1.0,31.8,3208,37,ENG
195,Mads Roerslev,Brentford,1.0,29.3,1987,34,DEN
196,Adam Smith,Bournemouth,1.0,18.9,2156,28,ENG
197,Mohamed Salah,Liverpool,0.9,64.9,2535,32,EGY
198,Scott McTominay,Manchester United,0.9,60.0,1891,32,SCO
199,Pervis Estupinán,Brighton and Hove Albion,0.9,59.1,1244,19,ECU
200,Anthony Gordon,Newcastle United,0.9,56.9,2898,35,ENG
201,Sasa Lukic,Fulham,0.9,52.4,1119,24,SRB
202,Curtis Jones,Liverpool,0.9,50.0,1167,23,ENG
203,Rayan Ait Nouri,Wolverhampton Wanderers,0.9,42.6,2344,33,ALG
204,Valentino Livramento,Newcastle United,0.9,37.1,1305,26,ENG
205,Jérémy Doku,Manchester City,0.8,100.0,1593,29,BEL
206,Mykhaylo Mudryk,Chelsea,0.8,77.8,1578,31,UKR
207,Noni Madueke,Chelsea,0.8,75.0,1053,23,ENG
208,Julián Álvarez,Manchester City,0.8,70.6,2657,36,ARG
209,Zeki Amdouni,Burnley,0.8,64.3,1971,34,SUI
210,Divock Origi,Nottingham Forest,0.8,62.5,599,20,BEL
211,Joelinton,Newcastle United,0.8,61.1,1282,20,BRA
212,Raul Jiménez,Fulham,0.8,52.2,1402,24,MEX
213,Bryan Mbeumo,Brentford,0.8,50.0,1959,25,CMR
214,Bukayo Saka,Arsenal,0.8,42.9,2933,35,ENG
215,Lucas Digne,Aston Villa,0.8,36.2,2410,33,FRA
216,Nathan Aké,Manchester City,0.8,33.3,2044,29,NED
217,Issa Kaboré,Luton Town,0.8,31.9,1732,24,BFA
218,Daniel Burn,Newcastle United,0.8,27.5,2732,33,ENG
219,Marc Cucurella,Chelsea,0.8,27.3,1784,21,ESP
220,Diogo Jota,Liverpool,0.7,69.2,1150,21,POR
221,Tariq Lamptey,Brighton and Hove Albion,0.7,63.6,912,19,GHA
222,Antony,Manchester United,0.7,57.9,1323,29,BRA
223,Matheus Cunha,Wolverhampton Wanderers,0.7,56.3,2453,32,BRA
224,Tahith Chong,Luton Town,0.7,45.5,1986,33,NED
225,Alejandro Garnacho,Manchester United,0.7,45.2,2573,36,ARG
226,Aaron Wan-Bissaka,Manchester United,0.7,31.7,1781,22,ENG
227,Jay Rodriguez,Burnley,0.7,24.0,813,21,ENG
228,Beto,Everton,0.6,75.0,939,30,POR
229,Miguel Almiron,Newcastle United,0.6,65.0,1945,33,PAR
230,Joao Pedro,Brighton and Hove Albion,0.6,58.3,2043,31,BRA
231,Justin Kluivert,Bournemouth,0.6,52.2,1934,32,NED
232,Abdoulaye Doucouré,Everton,0.6,48.6,2637,32,MLI
233,Antoine Semenyo,Bournemouth,0.6,45.5,2111,33,GHA
233,Bobby Reid,Fulham,0.6,45.5,1424,33,JAM
235,Simon Adingra,Brighton and Hove Albion,0.6,42.4,2230,31,CIV
236,Keane Lewis-Potter,Brentford,0.6,33.3,1441,30,ENG
237,Jack Harrison,Everton,0.6,30.4,2219,29,ENG
238,Cody Gakpo,Liverpool,0.5,83.3,1644,35,NED
239,Lyle Foster,Burnley,0.5,76.9,1906,24,RSA
240,Dejan Kulusevski,Tottenham Hotspur,0.5,61.5,2763,36,SWE
241,Ryan Gravenberch,Liverpool,0.5,60.0,1121,26,NED
242,Jean-Ricner Bellegarde,Wolverhampton Wanderers,0.5,45.5,958,22,HAI
243,Darwin Nunez,Liverpool,0.5,44.0,2046,36,URU
244,Chiedozie Ogbene,Luton Town,0.5,37.0,1993,30,IRL
245,Will Hughes,Crystal Palace,0.5,27.8,1899,30,ENG
246,Jacob Murphy,Newcastle United,0.5,25.0,1193,21,ENG
247,Hugo Bueno,Wolverhampton Wanderers,0.5,20.0,730,22,ESP
248,Rasmus Højlund,Manchester United,0.4,100.0,2169,30,DEN
249,Gabriel Jesus,Arsenal,0.4,87.5,1482,27,BRA
250,Richarlison,Tottenham Hotspur,0.4,70.0,1492,28,BRA
251,Alexander Isak,Newcastle United,0.4,66.7,2265,30,SWE
252,Rodrigo Muniz,Fulham,0.4,63.6,1597,26,BRA
253,Nicolas Jackson,Chelsea,0.4,61.1,2804,35,SEN
254,Hee-Chan Hwang,Wolverhampton Wanderers,0.4,58.8,2124,29,KOR
255,Yoane Wissa,Brentford,0.4,57.1,2508,34,COD
256,Moussa Diaby,Aston Villa,0.4,56.3,2184,38,FRA
256,Wilson Odobert,Burnley,0.4,56.3,2107,29,FRA
258,Michail Antonio,West Ham United,0.4,53.3,1710,26,JAM
259,Jarrod Bowen,West Ham United,0.4,48.1,3020,34,ENG
260,Jordan Ayew,Crystal Palace,0.4,34.4,2549,35,GHA
261,Matheus Nunes,Manchester City,0.4,30.8,833,19,POR
262,Jeffrey Schlupp,Crystal Palace,0.4,27.3,1355,29,GHA
263,Elliot Anderson,Newcastle United,0.4,19.0,1022,21,SCO
264,Jacob Brown,Luton Town,0.4,16.7,1020,19,SCO
265,Jean-Philippe Mateta,Crystal Palace,0.3,80.0,2283,35,FRA
266,Heung-Min Son,Tottenham Hotspur,0.3,68.8,2946,35,KOR
267,Raheem Sterling,Chelsea,0.3,66.7,1981,31,ENG
268,Adam Lallana,Brighton and Hove Albion,0.3,60.0,846,25,ENG
268,Chris Wood,Nottingham Forest,0.3,60.0,1806,31,NZL
270,Evan Ferguson,Brighton and Hove Albion,0.3,57.1,1365,27,IRL
271,Carlton Morris,Luton Town,0.3,47.1,2867,38,ENG
271,Kai Havertz,Arsenal,0.3,47.1,2639,37,GER
273,Facundo Buonanotte,Brighton and Hove Albion,0.3,45.5,1368,27,ARG
273,Kaoru Mitoma,Brighton and Hove Albion,0.3,45.5,1488,19,JPN
275,Anthony Elanga,Nottingham Forest,0.3,35.0,2434,36,SWE
275,Destiny Udogie,Tottenham Hotspur,0.3,35.0,2398,28,ITA
277,Harvey Barnes,Newcastle United,0.3,33.3,794,21,ENG
278,Brennan Johnson,Tottenham Hotspur,0.3,28.0,2330,35,WAL
278,James McAtee,Sheffield United,0.3,28.0,1828,31,ENG
280,Nicolo Zaniolo,Aston Villa,0.3,25.0,830,25,ITA
281,Andre Brooks,Sheffield United,0.3,14.3,942,20,ENG
282,Dominic Solanke,Bournemouth,0.2,66.7,3331,38,ENG
282,Taiwo Awoniyi,Nottingham Forest,0.2,66.7,1046,20,NGA
284,Armando Broja,Chelsea,0.2,50.0,535,21,ALB
284,Dominic Calvert-Lewin,Everton,0.2,50.0,2185,32,ENG
284,Jhon Duran,Aston Villa,0.2,50.0,462,23,COL
287,Odsonne Edouard,Crystal Palace,0.2,42.9,1552,30,FRA
288,Callum Wilson,Newcastle United,0.2,40.0,985,20,ENG
289,Cauley Woodrow,Luton Town,0.2,16.7,409,24,ENG
290,Danny Ings,West Ham United,0.2,14.3,390,20,ENG
291,Erling Haaland,Manchester City,0.1,60.0,2556,31,NOR
292,Cameron Archer,Sheffield United,0.1,42.9,1839,30,ENG
293,Danny Welbeck,Brighton and Hove Albion,0.1,33.3,1703,29,ENG
294,Ollie Watkins,Aston Villa,0.1,27.3,3221,37,ENG
295,Elijah Adebayo,Luton Town,0.1,25.0,1418,27,ENG
296,Oliver McBurnie,Sheffield United,0.1,20.0,1283,21,SCO
