Rank,Player,Team,Shots on Target per 90,Shot Accuracy (%),Minutes,Matches,Country
37,Jarrod Bowen,West Ham United,1.1,44.0,3020,34,ENG
38,Raul Jiménez,Fulham,1.1,41.5,1402,24,MEX
39,Noni Madueke,Chelsea,1.1,40.6,1053,23,ENG
40,Odsonne Edouard,Crystal Palace,1.1,37.3,1552,30,FRA
41,Antony,Manchester United,1.1,37.2,1323,29,BRA
42,Nicolo Zaniolo,Aston Villa,1.1,37.0,830,25,ITA
43,Harvey Elliott,Liverpool,1.1,34.7,1336,34,ENG
43,Joao Pedro,Brighton and Hove Albion,1.1,34.7,2043,31,BRA
45,Jérémy Doku,Manchester City,1.1,34.5,1593,29,BEL
46,Bukayo Saka,Arsenal,1.1,34.3,2933,35,ENG
47,Luis Diaz,Liverpool,1.1,34.0,2646,37,COL
48,Callum Hudson-Odoi,Nottingham Forest,1.0,52.6,1854,29,ENG
49,Zeki Amdouni,Burnley,1.0,44.9,1971,34,SUI
50,Carlton Morris,Luton Town,1.0,43.7,2867,38,ENG
51,Raheem Sterling,Chelsea,1.0,43.1,1981,31,ENG
52,Kai Havertz,Arsenal,1.0,40.6,2639,37,GER
53,James Maddison,Tottenham Hotspur,1.0,39.7,2152,28,ENG
54,Anthony Gordon,Newcastle United,1.0,38.3,2898,35,ENG
55,Gabriel Martinelli,Arsenal,1.0,37.9,2029,35,BRA
56,Dominic Solanke,Bournemouth,1.0,34.9,3331,38,ENG
57,Edward Nketiah,Arsenal,1.0,31.6,1073,27,ENG
58,Alejandro Garnacho,Manchester United,1.0,28.0,2573,36,ARG
59,Rasmus Højlund,Manchester United,0.9,55.3,2169,30,DEN
60,Taiwo Awoniyi,Nottingham Forest,0.9,50.0,1046,20,NGA
61,Elijah Adebayo,Luton Town,0.9,45.2,1418,27,ENG
62,Kaoru Mitoma,Brighton and Hove Albion,0.9,44.1,1488,19,JPN
63,Scott McTominay,Manchester United,0.9,43.2,1891,32,SCO
64,Anthony Elanga,Nottingham Forest,0.9,42.6,2434,36,SWE
64,Moussa Diaby,Aston Villa,0.9,42.6,2184,38,FRA
66,Simon Adingra,Brighton and Hove Albion,0.9,42.3,2230,31,CIV
67,Pablo Sarabia,Wolverhampton Wanderers,0.9,39.1,1748,30,ESP
68,Yoane Wissa,Brentford,0.9,38.8,2508,34,COD
69,William Osula,Sheffield United,0.9,38.1,783,21,DEN
70,Bryan Mbeumo,Brentford,0.9,37.7,1959,25,CMR
71,Jay Rodriguez,Burnley,0.9,36.4,813,21,ENG
72,Justin Kluivert,Bournemouth,0.9,35.7,1934,32,NED
73,Danny Ings,West Ham United,0.9,33.3,390,20,ENG
74,Cauley Woodrow,Luton Town,0.9,25.0,409,24,ENG
75,Lyle Foster,Burnley,0.8,50.0,1906,24,RSA
76,Abdoulaye Doucouré,Everton,0.8,48.9,2637,32,MLI
77,Dejan Kulusevski,Tottenham Hotspur,0.8,42.1,2763,36,SWE
78,Hee-Chan Hwang,Wolverhampton Wanderers,0.8,40.0,2124,29,KOR
78,Willian,Fulham,0.8,40.0,2054,31,BRA
80,Brennan Johnson,Tottenham Hotspur,0.8,39.6,2330,35,WAL
81,Danny Welbeck,Brighton and Hove Albion,0.8,39.0,1703,29,ENG
82,Alex Iwobi,Fulham,0.8,36.4,2342,32,NGA
83,Leon Bailey,Aston Villa,0.8,34.0,2072,35,JAM
84,Marcus Rashford,Manchester United,0.8,33.9,2278,33,ENG
85,Jacob Murphy,Newcastle United,0.8,33.3,1193,21,ENG
86,Jeffrey Schlupp,Crystal Palace,0.7,57.9,1355,29,GHA
87,Michail Antonio,West Ham United,0.7,46.7,1710,26,JAM
88,Yegor Yarmolyuk,Brentford,0.7,45.5,675,27,UKR
89,Jordan Ayew,Crystal Palace,0.7,41.7,2549,35,GHA
90,Frank Onyeka,Brentford,0.7,40.9,1155,26,NGA
91,Rodri,Manchester City,0.7,35.5,2938,34,ESP
92,Mykhaylo Mudryk,Chelsea,0.7,34.3,1578,31,UKR
93,Enzo Fernández,Chelsea,0.7,34.0,2214,28,ARG
94,Pedro Neto,Wolverhampton Wanderers,0.7,33.3,1518,20,POR
95,Harry Wilson,Fulham,0.7,32.5,1614,35,WAL
96,Marcus Tavernier,Bournemouth,0.7,30.2,2129,30,ENG
97,Martin Ødegaard,Arsenal,0.7,29.9,3098,35,NOR
98,Ross Barkley,Luton Town,0.7,28.8,2622,32,ENG
99,Joelinton,Newcastle United,0.6,47.4,1282,20,BRA
100,Facundo Buonanotte,Brighton and Hove Albion,0.6,42.9,1368,27,ARG
101,Chiedozie Ogbene,Luton Town,0.6,40.0,1993,30,IRL
102,Pape Sarr,Tottenham Hotspur,0.6,38.9,2085,34,SEN
103,Pascal Gross,Brighton and Hove Albion,0.6,36.4,3114,36,GER
104,Ryan Gravenberch,Liverpool,0.6,34.8,1121,26,NED
105,Declan Rice,Arsenal,0.6,34.5,3230,38,ENG
106,Miguel Almiron,Newcastle United,0.6,29.3,1945,33,PAR
107,Divock Origi,Nottingham Forest,0.6,28.6,599,20,BEL
107,Wilson Odobert,Burnley,0.6,28.6,2107,29,FRA
109,Jacob Brown,Luton Town,0.6,26.9,1020,19,SCO
110,Mohammed Kudus,West Ham United,0.6,25.4,2483,33,GHA
111,Dominik Szoboszlai,Liverpool,0.6,25.0,2109,33,HUN
112,Tom Cairney,Fulham,0.5,47.1,1475,34,SCO
113,Bernardo Silva,Manchester City,0.5,44.1,2581,33,POR
114,Josko Gvardiol,Manchester City,0.5,43.8,2328,28,CRO
115,James Ward-Prowse,West Ham United,0.5,40.9,3005,37,ENG
116,Johann Berg Gudmundsson,Burnley,0.5,40.0,1191,26,ISL
116,John McGinn,Aston Villa,0.5,40.0,3009,35,SCO
118,Matty Cash,Aston Villa,0.5,39.4,2142,29,POL
119,Conor Gallagher,Chelsea,0.5,37.5,3135,37,ENG
119,Mario Lemina,Wolverhampton Wanderers,0.5,37.5,2974,35,GAB
121,Sean Longstaff,Newcastle United,0.5,36.6,2746,35,ENG
122,Douglas Luiz,Aston Villa,0.5,35.4,3001,35,BRA
123,Andros Townsend,Luton Town,0.5,35.0,1209,27,ENG
124,Tomas Soucek,West Ham United,0.5,34.9,2874,37,CZE
125,Jean-Ricner Bellegarde,Wolverhampton Wanderers,0.5,33.3,958,22,HAI
126,Curtis Jones,Liverpool,0.5,31.6,1167,23,ENG
127,Joao Palhinha,Fulham,0.5,31.1,2709,33,POR
128,Andreas Pereira,Fulham,0.5,30.8,2637,37,BRA
129,Gustavo Hamer,Sheffield United,0.5,30.6,2923,36,NED
130,Philip Billing,Bournemouth,0.5,26.7,1393,29,DEN
131,Dwight McNeil,Everton,0.5,26.3,2897,35,ENG
132,Cameron Archer,Sheffield United,0.5,26.2,1839,30,ENG
133,Bobby Reid,Fulham,0.5,24.2,1424,33,JAM
134,Dango Ouattara,Bournemouth,0.5,23.3,1220,30,BFA
135,Naouirou Ahamada,Crystal Palace,0.5,22.2,333,20,FRA
136,Andrew Robertson,Liverpool,0.4,58.3,1691,23,SCO
137,Pervis Estupinán,Brighton and Hove Albion,0.4,54.5,1244,19,ECU
138,Mikkel Damsgaard,Brentford,0.4,44.4,835,23,DEN
139,Willy Boly,Nottingham Forest,0.4,42.9,1443,20,CIV
140,Matheus Nunes,Manchester City,0.4,40.0,833,19,POR
140,Oliver Norwood,Sheffield United,0.4,40.0,1433,27,NIR
142,Josh Brownhill,Burnley,0.4,39.3,2251,33,ENG
143,Lewis Dunk,Brighton and Hove Albion,0.4,36.4,2872,33,ENG
144,James McAtee,Sheffield United,0.4,34.6,1828,31,ENG
145,Jayden Bogle,Sheffield United,0.4,34.4,2792,34,ENG
146,Bruno Guimaraes,Newcastle United,0.4,33.3,3268,37,BRA
147,Pierre-Emile Højbjerg,Tottenham Hotspur,0.4,31.6,1293,36,DEN
148,Virgil van Dijk,Liverpool,0.4,31.1,3178,36,NED
149,Danilo,Nottingham Forest,0.4,30.4,1796,29,BRA
150,Ryan Christie,Bournemouth,0.4,30.2,2918,37,SCO
151,Rodrigo Bentancur,Tottenham Hotspur,0.4,27.8,1007,23,URU
152,Nicolás Dominguez,Nottingham Forest,0.4,27.3,1503,26,ARG
153,Alex Scott,Bournemouth,0.4,26.7,1010,23,ENG
154,Jack Harrison,Everton,0.4,26.5,2219,29,ENG
155,Elliot Anderson,Newcastle United,0.4,26.3,1022,21,SCO
156,Lucas Paquetá,West Ham United,0.4,26.2,2634,31,BRA
157,Casemiro,Manchester United,0.4,23.1,1985,25,BRA
158,Jack Grealish,Manchester City,0.4,22.7,1003,20,ENG
159,Morgan Gibbs-White,Nottingham Forest,0.4,21.1,3160,37,ENG
160,Victor Nilsson Lindelöf,Manchester United,0.3,66.7,1332,19,SWE
161,Harry Toffolo,Nottingham Forest,0.3,62.5,1455,23,ENG
162,Álex Moreno,Aston Villa,0.3,50.0,1030,21,ESP
162,Jakub Kiwior,Arsenal,0.3,50.0,945,20,POL
162,Mathias Jensen,Brentford,0.3,50.0,2217,32,DEN
165,Youri Tielemans,Aston Villa,0.3,42.9,1620,32,BEL
166,Cristian Romero,Tottenham Hotspur,0.3,41.7,2792,33,ARG
167,Ruben Dias,Manchester City,0.3,40.0,2557,30,POR
168,Tosin Adarabioyo,Fulham,0.3,35.7,1617,20,ENG
169,Gabriel,Arsenal,0.3,35.5,3044,36,BRA
170,Malo Gusto,Chelsea,0.3,33.3,1755,27,FRA
170,Rayan Ait Nouri,Wolverhampton Wanderers,0.3,33.3,2344,33,ALG
172,Christian Eriksen,Manchester United,0.3,30.8,1139,22,DEN
172,Joao Gomes,Wolverhampton Wanderers,0.3,30.8,2658,34,BRA
174,Idrissa Gana Gueye,Everton,0.3,26.9,1892,25,SEN
175,James Garner,Everton,0.3,26.8,3005,37,ENG
176,Jefferson Lerma,Crystal Palace,0.3,26.5,2403,28,COL
177,Fabian Schär,Newcastle United,0.3,25.7,3054,36,SUI
178,Carlos Baleba,Brighton and Hove Albion,0.3,23.8,1321,27,CMR
179,Jordan Clark,Luton Town,0.3,23.5,1306,23,ENG
180,Mateo Kovacic,Manchester City,0.3,22.7,1548,30,CRO
181,Pedro Porro,Tottenham Hotspur,0.3,22.6,3092,35,ESP
181,Tahith Chong,Luton Town,0.3,22.6,1986,33,NED
183,Ryan Yates,Nottingham Forest,0.3,21.9,1986,35,ENG
184,Amadou Onana,Everton,0.3,20.7,2090,30,BEL
185,Alexis Mac Allister,Liverpool,0.3,20.5,2609,33,ARG
186,Christian Nørgaard,Brentford,0.3,20.0,2513,31,DEN
187,Trent Alexander-Arnold,Liverpool,0.3,17.0,2159,28,ENG
188,Armando Broja,Chelsea,0.3,15.4,535,21,ALB
189,Ben White,Arsenal,0.2,61.5,2995,37,ENG
190,Joel Veltman,Brighton and Hove Albion,0.2,60.0,1582,27,NED
191,Destiny Udogie,Tottenham Hotspur,0.2,55.6,2398,28,ITA
192,Emerson Royal,Tottenham Hotspur,0.2,50.0,1155,22,BRA
192,Marc Cucurella,Chelsea,0.2,50.0,1784,21,ESP
192,Toti Gomes,Wolverhampton Wanderers,0.2,50.0,2774,35,POR
195,Kobbie Mainoo,Manchester United,0.2,45.5,1939,24,ENG
196,Antonee Robinson,Fulham,0.2,43.8,3270,37,USA
196,Kurt Zouma,West Ham United,0.2,43.8,2838,33,FRA
198,Jack Robinson,Sheffield United,0.2,42.9,2885,34,ENG
198,Max Kilman,Wolverhampton Wanderers,0.2,42.9,3420,38,ENG
198,Vinicius de Souza Costa,Sheffield United,0.2,42.9,2672,36,BRA
201,Pau Torres,Aston Villa,0.2,41.7,2463,29,ESP
202,Jan Paul van Hecke,Brighton and Hove Albion,0.2,40.0,2368,28,NED
203,Joachim Andersen,Crystal Palace,0.2,38.1,3416,38,DEN
204,Timothy Castagne,Fulham,0.2,35.7,2633,34,BEL
205,Murillo,Nottingham Forest,0.2,35.3,2793,32,BRA
206,Kristoffer Vassbakk Ajer,Brentford,0.2,33.3,1833,28,NOR
206,Manuel Akanji,Manchester City,0.2,33.3,2513,30,SUI
206,Matt Doherty,Wolverhampton Wanderers,0.2,33.3,1142,30,IRL
206,Vitaly Janelt,Brentford,0.2,33.3,3069,38,GER
210,Craig Dawson,Wolverhampton Wanderers,0.2,31.3,2211,25,ENG
210,Josh Cullen,Burnley,0.2,31.3,2059,25,IRL
210,Milos Kerkez,Bournemouth,0.2,31.3,1975,28,HUN
213,Alfie Doughty,Luton Town,0.2,30.8,2937,37,ENG
213,Marcos Senesi,Bournemouth,0.2,30.8,2247,31,ARG
213,Reece Burke,Luton Town,0.2,30.8,1663,22,ENG
216,Wataru Endo,Liverpool,0.2,30.0,1719,29,JPN
217,Nayef Aguerd,West Ham United,0.2,28.6,1859,21,MAR
218,Levi Colwill,Chelsea,0.2,27.3,1798,23,ENG
219,Neco Williams,Nottingham Forest,0.2,26.7,1634,26,WAL
220,Anel Ahmedhodzic,Sheffield United,0.2,26.3,2649,31,BIH
220,Dara O'Shea,Burnley,0.2,26.3,2894,33,IRL
222,Daniel Burn,Newcastle United,0.2,26.1,2732,33,ENG
223,Konstantinos Mavropanos,West Ham United,0.2,25.0,1501,19,GRE
223,Nathan Aké,Manchester City,0.2,25.0,2044,29,NED
225,Diogo Dalot,Manchester United,0.2,23.3,3173,36,POR
226,Sasa Lukic,Fulham,0.2,23.1,1119,24,SRB
227,Andre Brooks,Sheffield United,0.2,22.2,942,20,ENG
227,Saman Ghoddos,Brentford,0.2,22.2,729,19,IRN
229,Thomas Doyle,Wolverhampton Wanderers,0.2,21.4,1213,26,ENG
230,Yves Bissouma,Tottenham Hotspur,0.2,20.8,2081,28,MLI
231,Billy Gilmour,Brighton and Hove Albion,0.2,20.0,2125,30,SCO
232,Vitalii Mykolenko,Everton,0.2,19.2,2471,28,UKR
233,Adam Lallana,Brighton and Hove Albion,0.2,18.2,846,25,ENG
234,Oleksandr Zinchenko,Arsenal,0.2,17.6,1722,27,UKR
234,Takehiro Tomiyasu,Arsenal,0.2,17.6,1143,22,JPN
236,Vitinho,Burnley,0.2,16.0,2316,32,BRA
237,Harry Maguire,Manchester United,0.2,15.0,1650,22,ENG
238,Amari'i Bell,Luton Town,0.1,100.0,1722,21,JAM
239,Valentino Livramento,Newcastle United,0.1,50.0,1305,26,ENG
240,Calvin Bassey,Fulham,0.1,40.0,2301,29,NGA
240,William Saliba,Arsenal,0.1,40.0,3420,38,FRA
242,Illia Zabarnyi,Bournemouth,0.1,37.5,3330,37,UKR
242,Micky van de Ven,Tottenham Hotspur,0.1,37.5,2342,27,NED
242,Will Hughes,Crystal Palace,0.1,37.5,1899,30,ENG
245,Teden Mengi,Luton Town,0.1,36.4,2470,30,ENG
246,Aaron Wan-Bissaka,Manchester United,0.1,33.3,1781,22,ENG
246,Lewis Cook,Bournemouth,0.1,33.3,2792,33,ENG
246,Tyrick Mitchell,Crystal Palace,0.1,33.3,3208,37,ENG
249,Moisés Caicedo,Chelsea,0.1,30.8,2872,35,ECU
250,Jarrad Branthwaite,Everton,0.1,28.6,3117,35,ENG
250,Thiago Silva,Chelsea,0.1,28.6,2527,31,BRA
252,Chris Richards,Crystal Palace,0.1,27.3,2091,26,USA
253,Ezri Konsa,Aston Villa,0.1,26.3,3073,35,ENG
254,Auston Trusty,Sheffield United,0.1,25.0,2572,32,USA
254,Axel Disasi,Chelsea,0.1,25.0,2581,31,FRA
254,Kieran Trippier,Newcastle United,0.1,25.0,2240,28,ENG
254,Lloyd Kelly,Bournemouth,0.1,25.0,1556,23,ENG
254,Oliver Skipp,Tottenham Hotspur,0.1,25.0,694,21,ENG
254,Raphaël Varane,Manchester United,0.1,25.0,1371,22,FRA
254,Vladimir Coufal,West Ham United,0.1,25.0,3136,36,CZE
261,Nélson Semedo,Wolverhampton Wanderers,0.1,23.5,3092,36,POR
262,Harrison Reed,Fulham,0.1,22.2,1324,27,ENG
263,Emerson,West Ham United,0.1,21.1,3142,36,ITA
263,Ethan Pinnock,Brentford,0.1,21.1,2521,29,JAM
265,Boubacar Kamara,Aston Villa,0.1,20.0,1659,20,FRA
265,Gabriel Osho,Luton Town,0.1,20.0,1848,21,ENG
265,James Tarkowski,Everton,0.1,20.0,3419,38,ENG
265,Lucas Digne,Aston Villa,0.1,20.0,2410,33,FRA
265,Moussa Niakhaté,Nottingham Forest,0.1,20.0,1457,21,SEN
265,Nathan Collins,Brentford,0.1,20.0,2649,32,IRL
271,Kyle Walker,Manchester City,0.1,18.8,2767,32,ENG
272,Ibrahima Konaté,Liverpool,0.1,18.2,1571,22,FRA
273,Edson Álvarez,West Ham United,0.1,17.6,2383,31,MEX
274,Issa Kaboré,Luton Town,0.1,16.7,1732,24,BFA
275,Ashley Young,Everton,0.1,15.4,2288,31,ENG
276,Sander Berge,Burnley,0.1,12.0,3005,37,NOR
277,Sergio Reguilon,Brentford,0.1,11.8,1534,25,ESP
278,Joseph Gomez,Liverpool,0.1,10.5,1779,32,ENG
279,Orel Mangala,Nottingham Forest,0.1,10.0,1569,20,BEL
280,Boubacar Traore,Wolverhampton Wanderers,0.1,9.1,804,24,MLI
280,Ola Aina,Nottingham Forest,0.1,9.1,1700,22,NGA
280,Pelly-Ruddock Mpanzu,Luton Town,0.1,9.1,1093,27,COD
283,Mads Roerslev,Brentford,0.0,14.3,1987,34,DEN
284,Charlie Taylor,Burnley,0.0,10.0,2332,28,ENG
284,Diego Carlos,Aston Villa,0.0,10.0,1811,27,BRA
