Rank,Player,Team,Accurate Passes per 90,Pass Success (%),Minutes,Matches,Country
74,Raphaël Varane,Manchester United,45.4,89.3,1371,22,FRA
75,Nayef Aguerd,West Ham United,45.4,80.5,1859,21,MAR
76,Joachim Andersen,Crystal Palace,45.1,79.5,3416,38,DEN
77,Craig Dawson,Wolverhampton Wanderers,44.9,86.7,2211,25,ENG
78,Jakub Kiwior,Arsenal,44.5,85.8,945,20,POL
79,Oliver Skipp,Tottenham Hotspur,44.4,91.7,694,21,ENG
80,Levi Colwill,Chelsea,43.9,83.4,1798,23,ENG
81,Bruno Fernandes,Manchester United,43.8,79.4,3119,35,POR
82,Jack Grealish,Manchester City,43.4,87.7,1003,20,ENG
83,Youri Tielemans,Aston Villa,43.3,86.0,1620,32,BEL
84,Pedro Porro,Tottenham Hotspur,43.2,79.6,3092,35,ESP
85,Dara O'Shea,Burnley,42.9,79.7,2894,33,IRL
86,Nicolás Dominguez,Nottingham Forest,42.4,85.4,1503,26,ARG
87,Boubacar Traore,Wolverhampton Wanderers,42.1,84.9,804,24,MLI
88,Harrison Reed,Fulham,41.9,85.3,1324,27,ENG
89,Ethan Pinnock,Brentford,41.9,84.0,2521,29,JAM
90,Christian Nørgaard,Brentford,41.9,81.2,2513,31,DEN
91,Sander Berge,Burnley,41.2,88.8,3005,37,NOR
92,Takehiro Tomiyasu,Arsenal,40.9,85.5,1143,22,JPN
93,Ross Barkley,Luton Town,40.9,84.5,2622,32,ENG
94,Nathan Collins,Brentford,40.6,81.5,2649,32,IRL
95,Valentino Livramento,Newcastle United,40.4,86.8,1305,26,ENG
96,Daniel Burn,Newcastle United,40.1,81.1,2732,33,ENG
97,Naouirou Ahamada,Crystal Palace,40.0,82.7,333,20,FRA
98,Destiny Udogie,Tottenham Hotspur,39.9,87.5,2398,28,ITA
99,Willian,Fulham,39.7,85.5,2054,31,BRA
100,Illia Zabarnyi,Bournemouth,39.7,81.6,3330,37,UKR
101,Marcos Senesi,Bournemouth,39.6,78.5,2247,31,ARG
102,James Ward-Prowse,West Ham United,39.5,89.6,3005,37,ENG
103,Joel Veltman,Brighton and Hove Albion,39.1,84.9,1582,27,NED
104,Edson Álvarez,West Ham United,38.9,86.1,2383,31,MEX
105,Oliver Norwood,Sheffield United,38.8,72.2,1433,27,NIR
106,Jérémy Doku,Manchester City,38.2,86.0,1593,29,BEL
107,Mario Lemina,Wolverhampton Wanderers,37.8,86.7,2974,35,GAB
108,Jefferson Lerma,Crystal Palace,37.8,82.4,2403,28,COL
109,Timothy Castagne,Fulham,37.5,81.3,2633,34,BEL
110,Amadou Onana,Everton,37.4,84.9,2090,30,BEL
111,Cole Palmer,Chelsea,37.4,83.3,2624,34,ENG
112,Joao Palhinha,Fulham,36.4,83.0,2709,33,POR
113,Moussa Niakhaté,Nottingham Forest,36.3,85.5,1457,21,SEN
114,Matty Cash,Aston Villa,36.3,84.0,2142,29,POL
115,Joelinton,Newcastle United,36.3,83.9,1282,20,BRA
116,Lucas Paquetá,West Ham United,36.3,75.2,2634,31,BRA
117,Murillo,Nottingham Forest,36.1,77.6,2793,32,BRA
118,Idrissa Gana Gueye,Everton,35.8,85.6,1892,25,SEN
119,Michael Olise,Crystal Palace,35.7,83.1,1277,19,FRA
120,Nélson Semedo,Wolverhampton Wanderers,35.7,80.9,3092,36,POR
121,Diogo Dalot,Manchester United,35.5,83.8,3173,36,POR
122,Lewis Cook,Bournemouth,35.2,81.2,2792,33,ENG
123,Matt Doherty,Wolverhampton Wanderers,35.2,79.3,1142,30,IRL
124,Joao Gomes,Wolverhampton Wanderers,34.9,83.3,2658,34,BRA
125,Aaron Wan-Bissaka,Manchester United,34.9,82.9,1781,22,ENG
126,Kobbie Mainoo,Manchester United,34.7,86.7,1939,24,ENG
127,Saman Ghoddos,Brentford,34.7,76.4,729,19,IRN
128,Lloyd Kelly,Bournemouth,34.6,77.6,1556,23,ENG
129,Rayan Ait Nouri,Wolverhampton Wanderers,34.5,86.6,2344,33,ALG
130,Noni Madueke,Chelsea,34.4,88.5,1053,23,ENG
131,Sasa Lukic,Fulham,34.4,87.5,1119,24,SRB
132,Will Hughes,Crystal Palace,34.2,85.2,1899,30,ENG
133,Emerson,West Ham United,34.1,82.9,3142,36,ITA
134,Antonee Robinson,Fulham,34.0,75.9,3270,37,USA
135,Bukayo Saka,Arsenal,33.4,83.0,2933,35,ENG
136,Julián Álvarez,Manchester City,33.1,87.9,2657,36,ARG
137,Chris Richards,Crystal Palace,33.1,83.3,2091,26,USA
138,Ryan Gravenberch,Liverpool,33.0,83.4,1121,26,NED
139,Josh Brownhill,Burnley,33.0,80.3,2251,33,ENG
140,Pablo Sarabia,Wolverhampton Wanderers,32.9,77.1,1748,30,ESP
141,Hugo Bueno,Wolverhampton Wanderers,32.8,80.6,730,22,ESP
142,Amari'i Bell,Luton Town,32.8,79.6,1722,21,JAM
143,Orel Mangala,Nottingham Forest,32.6,88.6,1569,20,BEL
144,Tariq Lamptey,Brighton and Hove Albion,32.2,87.9,912,19,GHA
145,Sean Longstaff,Newcastle United,32.1,80.9,2746,35,ENG
146,Alex Iwobi,Fulham,31.7,81.6,2342,32,NGA
147,Jarrad Branthwaite,Everton,31.7,80.1,3117,35,ENG
148,Charlie Taylor,Burnley,31.7,78.9,2332,28,ENG
149,Mikkel Damsgaard,Brentford,31.3,73.6,835,23,DEN
150,Ansu Fati,Brighton and Hove Albion,31.2,87.3,513,19,ESP
151,Alex Scott,Bournemouth,31.2,81.0,1010,23,ENG
152,James Tarkowski,Everton,31.2,77.8,3419,38,ENG
153,Mathias Jensen,Brentford,31.0,78.6,2217,32,DEN
154,Emiliano Martinez,Aston Villa,30.9,81.4,3015,34,ARG
155,Lucas Digne,Aston Villa,30.8,81.4,2410,33,FRA
156,Vitaly Janelt,Brentford,30.6,79.9,3069,38,GER
157,Antony,Manchester United,30.5,80.0,1323,29,BRA
158,Ederson Moraes,Manchester City,30.4,85.9,2788,33,BRA
159,Miguel Almiron,Newcastle United,30.4,85.8,1945,33,PAR
160,Gabriel Martinelli,Arsenal,30.4,85.0,2029,35,BRA
161,Kurt Zouma,West Ham United,30.4,83.9,2838,33,FRA
162,Elliot Anderson,Newcastle United,30.4,82.9,1022,21,SCO
163,Bart Verbruggen,Brighton and Hove Albion,30.3,85.6,1890,21,NED
164,Alisson Becker,Liverpool,30.3,85.1,2520,28,BRA
165,James Trafford,Burnley,30.3,62.1,2520,28,ENG
166,Nathaniel Clyne,Crystal Palace,30.2,84.2,1337,19,ENG
167,Guglielmo Vicario,Tottenham Hotspur,30.2,83.7,3420,38,ITA
168,Dejan Kulusevski,Tottenham Hotspur,30.2,81.9,2763,36,SWE
169,Kaoru Mitoma,Brighton and Hove Albion,30.1,83.4,1488,19,JPN
170,Ryan Christie,Bournemouth,29.8,79.3,2918,37,SCO
171,Ryan Yates,Nottingham Forest,29.7,80.3,1986,35,ENG
172,Luis Diaz,Liverpool,29.6,85.3,2646,37,COL
173,Álex Moreno,Aston Villa,29.6,83.3,1030,21,ESP
174,Willy Boly,Nottingham Forest,29.4,77.1,1443,20,CIV
175,Danilo,Nottingham Forest,29.3,80.6,1796,29,BRA
176,Luis Sinisterra,Bournemouth,29.3,80.1,692,20,COL
177,Pedro Neto,Wolverhampton Wanderers,29.1,83.4,1518,20,POR
178,Yegor Yarmolyuk,Brentford,29.1,77.3,675,27,UKR
179,Eberechi Eze,Crystal Palace,28.9,83.7,2065,27,ENG
180,Konstantinos Mavropanos,West Ham United,28.8,76.7,1501,19,GRE
181,Reece Burke,Luton Town,28.7,77.5,1663,22,ENG
182,Sergio Reguilon,Brentford,28.7,75.7,1534,25,ESP
183,Andreas Pereira,Fulham,28.6,78.8,2637,37,BRA
184,Bernd Leno,Fulham,28.6,77.2,3420,38,GER
185,John McGinn,Aston Villa,28.3,82.7,3009,35,SCO
186,Joao Pedro,Brighton and Hove Albion,28.2,82.7,2043,31,BRA
187,Gabriel Osho,Luton Town,28.2,82.5,1848,21,ENG
188,Morgan Gibbs-White,Nottingham Forest,28.1,76.9,3160,37,ENG
189,James Garner,Everton,27.6,82.8,3005,37,ENG
190,Joel Ward,Crystal Palace,27.6,75.7,1982,26,ENG
191,Johann Berg Gudmundsson,Burnley,27.5,78.3,1191,26,ISL
192,Mark Flekken,Brentford,27.5,69.4,3285,37,NED
193,Kristoffer Vassbakk Ajer,Brentford,26.9,75.9,1833,28,NOR
194,Callum Hudson-Odoi,Nottingham Forest,26.8,85.3,1854,29,ENG
195,Ola Aina,Nottingham Forest,26.8,79.9,1700,22,NGA
196,Nathan Patterson,Everton,26.8,73.0,999,20,SCO
197,Heung-Min Son,Tottenham Hotspur,26.6,85.1,2946,35,KOR
198,Vinicius de Souza Costa,Sheffield United,26.5,80.3,2672,36,BRA
199,Teden Mengi,Luton Town,26.5,78.2,2470,30,ENG
200,Facundo Buonanotte,Brighton and Hove Albion,26.3,85.3,1368,27,ARG
201,Leandro Trossard,Arsenal,26.1,78.7,1646,34,BEL
202,Ben Osborn,Sheffield United,26.0,77.7,1359,24,ENG
203,Kai Havertz,Arsenal,25.8,81.1,2639,37,GER
204,Harry Wilson,Fulham,25.7,79.2,1614,35,WAL
205,Vladimir Coufal,West Ham United,25.7,73.0,3136,36,CZE
206,Jack Robinson,Sheffield United,25.6,77.3,2885,34,ENG
207,Marcus Tavernier,Bournemouth,25.5,79.3,2129,30,ENG
208,Philip Billing,Bournemouth,25.4,78.4,1393,29,DEN
209,Andre Onana,Manchester United,25.4,70.4,3420,38,CMR
210,Jacob Bruun Larsen,Burnley,25.3,76.8,1248,32,DEN
211,Max Aarons,Bournemouth,25.2,76.7,1234,20,ENG
212,Mohamed Salah,Liverpool,25.1,75.7,2535,32,EGY
213,Alfie Doughty,Luton Town,25.1,75.2,2937,37,ENG
214,Tyrick Mitchell,Crystal Palace,25.1,74.2,3208,37,ENG
215,Scott McTominay,Manchester United,24.9,81.5,1891,32,SCO
216,Adam Smith,Bournemouth,24.7,77.1,2156,28,ENG
217,Jordan Clark,Luton Town,24.7,74.1,1306,23,ENG
218,Simon Adingra,Brighton and Hove Albion,24.5,81.1,2230,31,CIV
219,Djordje Petrovic,Chelsea,24.5,76.4,1986,23,SRB
220,Anel Ahmedhodzic,Sheffield United,24.5,75.6,2649,31,BIH
221,Dwight McNeil,Everton,24.4,78.3,2897,35,ENG
222,Gabriel Jesus,Arsenal,24.1,81.0,1482,27,BRA
223,Vitalii Mykolenko,Everton,24.1,74.9,2471,28,UKR
224,Leon Bailey,Aston Villa,23.8,78.2,2072,35,JAM
225,Neco Williams,Nottingham Forest,23.8,72.4,1634,26,WAL
226,Mohammed Kudus,West Ham United,23.7,84.5,2483,33,GHA
227,Raheem Sterling,Chelsea,23.7,79.3,1981,31,ENG
228,Matheus Cunha,Wolverhampton Wanderers,23.5,81.6,2453,32,BRA
229,Anthony Gordon,Newcastle United,23.4,81.8,2898,35,ENG
230,Auston Trusty,Sheffield United,23.4,79.0,2572,32,USA
231,Jacob Murphy,Newcastle United,23.4,73.6,1193,21,ENG
232,Chiedozie Ogbene,Luton Town,23.2,81.6,1993,30,IRL
233,Alejandro Garnacho,Manchester United,23.2,79.4,2573,36,ARG
234,Cody Gakpo,Liverpool,23.2,79.3,1644,35,NED
235,Abdoulaye Doucouré,Everton,23.2,78.5,2637,32,MLI
236,Jordan Ayew,Crystal Palace,23.1,80.6,2549,35,GHA
237,Cauley Woodrow,Luton Town,22.9,74.8,409,24,ENG
238,Harvey Barnes,Newcastle United,22.8,79.1,794,21,ENG
239,Frank Onyeka,Brentford,22.7,77.6,1155,26,NGA
240,Vitinho,Burnley,22.7,77.1,2316,32,BRA
241,Tomas Soucek,West Ham United,22.5,75.7,2874,37,CZE
242,Diogo Jota,Liverpool,22.4,74.5,1150,21,POR
243,Dango Ouattara,Bournemouth,22.4,67.6,1220,30,BFA
244,Jean-Ricner Bellegarde,Wolverhampton Wanderers,22.3,84.3,958,22,HAI
245,Jordan Pickford,Everton,22.3,59.4,3420,38,ENG
246,Danny Welbeck,Brighton and Hove Albion,22.2,83.2,1703,29,ENG
247,Gustavo Hamer,Sheffield United,22.2,73.5,2923,36,NED
248,Bobby Reid,Fulham,22.1,79.0,1424,33,JAM
249,Milos Kerkez,Bournemouth,22.1,77.2,1975,28,HUN
250,Ashley Young,Everton,22.1,72.4,2288,31,ENG
251,Bryan Mbeumo,Brentford,21.6,72.3,1959,25,CMR
252,Marcus Rashford,Manchester United,21.4,79.2,2278,33,ENG
253,Issa Kaboré,Luton Town,21.4,76.0,1732,24,BFA
254,Pelly-Ruddock Mpanzu,Luton Town,21.2,74.9,1093,27,COD
255,Harry Toffolo,Nottingham Forest,21.0,76.2,1455,23,ENG
256,Mykhaylo Mudryk,Chelsea,20.9,76.9,1578,31,UKR
257,Andros Townsend,Luton Town,20.8,80.2,1209,27,ENG
258,Brennan Johnson,Tottenham Hotspur,20.7,76.6,2330,35,WAL
259,David Raya,Arsenal,20.0,70.8,2880,32,ESP
260,Moussa Diaby,Aston Villa,19.4,82.6,2184,38,FRA
261,Thomas Kaminski,Luton Town,19.1,55.0,3406,38,BEL
262,Mads Roerslev,Brentford,18.9,68.9,1987,34,DEN
263,Antoine Semenyo,Bournemouth,18.6,74.3,2111,33,GHA
264,Tahith Chong,Luton Town,18.5,81.8,1986,33,NED
265,Wilson Odobert,Burnley,18.5,79.4,2107,29,FRA
266,Neal Maupay,Brentford,18.5,73.6,1424,31,FRA
267,Andre Brooks,Sheffield United,18.2,77.0,942,20,ENG
268,Zeki Amdouni,Burnley,18.0,80.9,1971,34,SUI
269,Anthony Elanga,Nottingham Forest,17.9,75.3,2434,36,SWE
270,Hee-Chan Hwang,Wolverhampton Wanderers,17.5,77.7,2124,29,KOR
271,Danny Ings,West Ham United,17.5,72.4,390,20,ENG
272,Keane Lewis-Potter,Brentford,17.3,77.4,1441,30,ENG
273,James McAtee,Sheffield United,17.3,72.0,1828,31,ENG
274,Jayden Bogle,Sheffield United,17.3,69.7,2792,34,ENG
275,Armando Broja,Fulham,17.2,85.7,535,21,ALB
276,Martin Dubravka,Newcastle United,17.2,74.9,1984,23,SVK
277,Neto,Bournemouth,17.0,60.2,2880,32,BRA
278,Wesley Foderingham,Sheffield United,16.9,52.6,2648,30,ENG
279,Oliver McBurnie,Sheffield United,16.8,60.3,1283,21,SCO
280,Raul Jiménez,Fulham,16.7,69.7,1402,24,MEX
281,Nicolas Jackson,Chelsea,16.5,78.0,2804,35,SEN
282,Jeffrey Schlupp,Crystal Palace,16.3,75.9,1355,29,GHA
283,Nicolo Zaniolo,Aston Villa,16.2,71.6,830,25,ITA
284,Evan Ferguson,Brighton and Hove Albion,16.1,81.3,1365,27,IRL
285,Richarlison,Tottenham Hotspur,16.0,70.9,1492,28,BRA
286,Jhon Duran,Aston Villa,15.8,71.1,462,23,COL
287,José Sá,Wolverhampton Wanderers,15.8,59.2,3038,35,POR
288,Jack Harrison,Everton,15.7,72.7,2219,29,ENG
289,Jay Rodriguez,Burnley,15.7,66.0,813,21,ENG
290,Alexander Isak,Newcastle United,15.1,80.0,2265,30,SWE
291,Carlton Morris,Luton Town,15.1,66.8,2867,38,ENG
292,Darwin Nunez,Liverpool,14.6,71.6,2046,36,URU
293,Lyle Foster,Burnley,14.5,68.1,1906,24,RSA
294,Odsonne Edouard,Crystal Palace,14.3,73.3,1552,30,FRA
295,Alphonse Areola,West Ham United,14.2,59.3,2699,31,FRA
296,Sam Johnstone,Crystal Palace,14.1,52.9,1797,20,ENG
297,Edward Nketiah,Arsenal,14.0,79.9,1073,27,ENG
298,Jarrod Bowen,West Ham United,13.9,75.1,3020,34,ENG
299,Chris Wood,Nottingham Forest,13.9,64.5,1806,31,NZL
300,Divock Origi,Nottingham Forest,13.4,67.9,599,20,BEL
301,Cameron Archer,Sheffield United,13.2,80.8,1839,30,ENG
302,Justin Kluivert,Bournemouth,12.8,72.4,1934,32,NED
303,Ollie Watkins,Aston Villa,12.7,76.8,3221,37,ENG
304,Rasmus Højlund,Manchester United,12.5,77.0,2169,30,DEN
305,Jean-Philippe Mateta,Crystal Palace,12.0,73.8,2283,35,FRA
306,Yoane Wissa,Brentford,11.6,73.2,2508,34,COD
307,Jacob Brown,Luton Town,11.4,56.3,1020,19,SCO
308,Taiwo Awoniyi,Nottingham Forest,10.9,73.8,1046,20,NGA
309,Dominic Solanke,Bournemouth,10.6,73.7,3331,38,ENG
310,Erling Haaland,Manchester City,10.4,77.4,2556,31,NOR
311,Beto,Everton,10.3,61.5,939,30,POR
312,Dominic Calvert-Lewin,Everton,10.2,56.9,2185,32,ENG
313,Callum Wilson,Newcastle United,9.4,65.2,985,20,ENG
314,Elijah Adebayo,Luton Town,9.1,72.6,1418,27,ENG
315,Michail Antonio,West Ham United,9.1,64.6,1710,26,JAM
316,Rodrigo Muniz,Fulham,7.7,62.1,1597,26,BRA
317,William Osula,Sheffield United,5.5,53.3,783,21,DEN
