Rank,Player,Team,Tackles per 90,Tackle Success Rate (%),Minutes,Matches,Country
48,Ashley Young,Everton,1.5,71.7,2288,31,ENG
49,Mateo Kovacic,Manchester City,1.5,69.4,1548,30,CRO
50,Yegor Yarmolyuk,Brentford,1.5,64.7,675,27,UKR
51,Levi Colwill,Chelsea,1.5,62.5,1798,23,ENG
52,Conor Gallagher,Chelsea,1.5,61.2,3135,37,ENG
53,Bruno Guimaraes,Newcastle United,1.5,60.2,3268,37,BRA
54,Moussa Niakhaté,Nottingham Forest,1.5,59.5,1457,21,SEN
55,Sofyan Amrabat,Manchester United,1.5,59.3,931,21,MAR
56,Wataru Endo,Liverpool,1.5,58.3,1719,29,JPN
57,Sasa Lukic,Fulham,1.5,57.6,1119,24,SRB
58,Issa Kaboré,Luton Town,1.5,53.8,1732,24,BFA
59,Edson Álvarez,West Ham United,1.5,48.8,2383,31,MEX
60,Tariq Lamptey,Brighton and Hove Albion,1.4,66.7,912,19,GHA
61,Max Aarons,Bournemouth,1.4,65.5,1234,20,ENG
62,Mads Roerslev,Brentford,1.4,64.6,1987,34,DEN
63,Marcus Tavernier,Bournemouth,1.4,64.2,2129,30,ENG
64,Diogo Dalot,Manchester United,1.4,63.0,3173,36,POR
65,Declan Rice,Arsenal,1.4,61.4,3230,38,ENG
66,Nélson Semedo,Wolverhampton Wanderers,1.4,60.8,3092,36,POR
67,Sander Berge,Burnley,1.4,60.5,3005,37,NOR
68,Matt Doherty,Wolverhampton Wanderers,1.4,58.1,1142,30,IRL
69,Josh Brownhill,Burnley,1.4,57.4,2251,33,ENG
70,Vitalii Mykolenko,Everton,1.4,55.1,2471,28,UKR
71,Antony,Manchester United,1.4,52.5,1323,29,BRA
72,Facundo Buonanotte,Brighton and Hove Albion,1.4,52.4,1368,27,ARG
73,Ryan Christie,Bournemouth,1.4,51.2,2918,37,SCO
74,Moisés Caicedo,Chelsea,1.4,50.5,2872,35,ECU
75,Carlos Baleba,Brighton and Hove Albion,1.4,50.0,1321,27,CMR
76,Malo Gusto,Chelsea,1.4,49.1,1755,27,FRA
77,Micky van de Ven,Tottenham Hotspur,1.3,71.4,2342,27,NED
78,Josh Cullen,Burnley,1.3,69.0,2059,25,IRL
79,Andrew Robertson,Liverpool,1.3,68.6,1691,23,SCO
80,Lewis Cook,Bournemouth,1.3,67.2,2792,33,ENG
81,Pascal Gross,Brighton and Hove Albion,1.3,65.7,3114,36,GER
82,Rodrigo Bentancur,Tottenham Hotspur,1.3,65.2,1007,23,URU
83,Alex Scott,Bournemouth,1.3,62.5,1010,23,ENG
84,Joel Ward,Crystal Palace,1.3,62.2,1982,26,ENG
85,Rodri,Manchester City,1.3,61.4,2938,34,ESP
86,Ibrahima Konaté,Liverpool,1.3,61.1,1571,22,FRA
87,Cristian Romero,Tottenham Hotspur,1.3,60.6,2792,33,ARG
88,Josko Gvardiol,Manchester City,1.3,60.0,2328,28,CRO
89,Aaron Wan-Bissaka,Manchester United,1.3,59.5,1781,22,ENG
90,Mathias Jensen,Brentford,1.3,59.3,2217,32,DEN
91,Marcos Senesi,Bournemouth,1.3,58.2,2247,31,ARG
92,Kobbie Mainoo,Manchester United,1.3,57.4,1939,24,ENG
92,Matty Cash,Aston Villa,1.3,57.4,2142,29,POL
94,Pierre-Emile Højbjerg,Tottenham Hotspur,1.3,56.3,1293,36,DEN
95,Jordan Ayew,Crystal Palace,1.3,55.4,2549,35,GHA
96,Vitinho,Burnley,1.3,53.1,2316,32,BRA
97,James Garner,Everton,1.3,53.0,3005,37,ENG
98,Vladimir Coufal,West Ham United,1.2,64.1,3136,36,CZE
99,Alfie Doughty,Luton Town,1.2,63.5,2937,37,ENG
100,Reece Burke,Luton Town,1.2,62.2,1663,22,ENG
101,Harrison Reed,Fulham,1.2,62.1,1324,27,ENG
102,Chris Richards,Crystal Palace,1.2,60.9,2091,26,USA
103,Andre Brooks,Sheffield United,1.2,59.1,942,20,ENG
104,Jordan Clark,Luton Town,1.2,56.7,1306,23,ENG
105,Jérémy Doku,Manchester City,1.2,56.4,1593,29,BEL
106,Anel Ahmedhodzic,Sheffield United,1.2,56.3,2649,31,BIH
107,Milos Kerkez,Bournemouth,1.2,55.3,1975,28,HUN
108,Jayden Bogle,Sheffield United,1.2,54.5,2792,34,ENG
109,Scott McTominay,Manchester United,1.2,51.0,1891,32,SCO
110,Destiny Udogie,Tottenham Hotspur,1.2,48.5,2398,28,ITA
111,Gabriel Martinelli,Arsenal,1.1,80.0,2029,35,BRA
112,Lloyd Kelly,Bournemouth,1.1,79.2,1556,23,ENG
113,James Tarkowski,Everton,1.1,68.9,3419,38,ENG
114,Miguel Almiron,Newcastle United,1.1,66.7,1945,33,PAR
114,Trent Alexander-Arnold,Liverpool,1.1,66.7,2159,28,ENG
116,Tomas Soucek,West Ham United,1.1,66.0,2874,37,CZE
117,Douglas Luiz,Aston Villa,1.1,65.5,3001,35,BRA
118,Jacob Brown,Luton Town,1.1,63.2,1020,19,SCO
119,Harvey Elliott,Liverpool,1.1,63.0,1336,34,ENG
120,Anthony Gordon,Newcastle United,1.1,61.8,2898,35,ENG
121,Vitaly Janelt,Brentford,1.1,60.3,3069,38,GER
122,Jakub Kiwior,Arsenal,1.1,60.0,945,20,POL
123,Calvin Bassey,Fulham,1.1,59.2,2301,29,NGA
124,Bruno Fernandes,Manchester United,1.1,55.9,3119,35,POR
125,Daniel Burn,Newcastle United,1.1,54.1,2732,33,ENG
126,Gabriel Osho,Luton Town,1.1,53.7,1848,21,ENG
127,Dejan Kulusevski,Tottenham Hotspur,1.1,53.2,2763,36,SWE
128,Bukayo Saka,Arsenal,1.1,53.0,2933,35,ENG
129,Curtis Jones,Liverpool,1.1,51.9,1167,23,ENG
130,Youri Tielemans,Aston Villa,1.1,48.8,1620,32,BEL
131,Kieran Trippier,Newcastle United,1.1,47.4,2240,28,ENG
132,Jhon Duran,Aston Villa,1.0,83.3,462,23,COL
133,Christian Eriksen,Manchester United,1.0,72.2,1139,22,DEN
134,Igor,Brighton and Hove Albion,1.0,72.0,1636,24,BRA
135,Gabriel Jesus,Arsenal,1.0,70.8,1482,27,BRA
136,Pape Sarr,Tottenham Hotspur,1.0,70.6,2085,34,SEN
137,Álex Moreno,Aston Villa,1.0,66.7,1030,21,ESP
137,Manuel Akanji,Manchester City,1.0,66.7,2513,30,SUI
137,Tom Cairney,Fulham,1.0,66.7,1475,34,SCO
140,James McAtee,Sheffield United,1.0,65.6,1828,31,ENG
141,Jay Rodriguez,Burnley,1.0,64.3,813,21,ENG
142,Auston Trusty,Sheffield United,1.0,63.8,2572,32,USA
143,Nathaniel Clyne,Crystal Palace,1.0,62.5,1337,19,ENG
144,Adam Smith,Bournemouth,1.0,62.2,2156,28,ENG
145,Murillo,Nottingham Forest,1.0,62.0,2793,32,BRA
146,Andros Townsend,Luton Town,1.0,61.9,1209,27,ENG
147,Tahith Chong,Luton Town,1.0,61.1,1986,33,NED
148,John McGinn,Aston Villa,1.0,59.3,3009,35,SCO
149,Konstantinos Mavropanos,West Ham United,1.0,57.1,1501,19,GRE
150,Diogo Jota,Liverpool,1.0,56.5,1150,21,POR
151,Sean Longstaff,Newcastle United,1.0,55.6,2746,35,ENG
152,Jan Paul van Hecke,Brighton and Hove Albion,1.0,55.3,2368,28,NED
152,Kristoffer Vassbakk Ajer,Brentford,1.0,55.3,1833,28,NOR
154,Thomas Doyle,Wolverhampton Wanderers,1.0,50.0,1213,26,ENG
155,Philip Billing,Bournemouth,1.0,48.5,1393,29,DEN
156,Nicolo Zaniolo,Aston Villa,1.0,47.4,830,25,ITA
157,Ryan Gravenberch,Liverpool,1.0,46.2,1121,26,NED
158,Jorginho,Arsenal,1.0,41.7,919,24,ITA
159,Luis Diaz,Liverpool,0.9,71.4,2646,37,COL
160,Harry Maguire,Manchester United,0.9,70.8,1650,22,ENG
161,Jack Robinson,Sheffield United,0.9,65.1,2885,34,ENG
162,James Ward-Prowse,West Ham United,0.9,64.4,3005,37,ENG
163,Bobby Reid,Fulham,0.9,63.6,1424,33,JAM
163,Jonny Evans,Manchester United,0.9,63.6,1396,23,NIR
165,Cody Gakpo,Liverpool,0.9,63.0,1644,35,NED
166,Abdoulaye Doucouré,Everton,0.9,62.8,2637,32,MLI
167,Joachim Andersen,Crystal Palace,0.9,62.5,3416,38,DEN
167,Noni Madueke,Chelsea,0.9,62.5,1053,23,ENG
169,Jack Harrison,Everton,0.9,59.5,2219,29,ENG
169,Jefferson Lerma,Crystal Palace,0.9,59.5,2403,28,COL
171,Ezri Konsa,Aston Villa,0.9,59.3,3073,35,ENG
171,Leandro Trossard,Arsenal,0.9,59.3,1646,34,BEL
173,Jean-Ricner Bellegarde,Wolverhampton Wanderers,0.9,58.8,958,22,HAI
174,Valentino Livramento,Newcastle United,0.9,56.5,1305,26,ENG
175,Illia Zabarnyi,Bournemouth,0.9,54.2,3330,37,UKR
176,Harry Toffolo,Nottingham Forest,0.9,53.8,1455,23,ENG
177,Danilo,Nottingham Forest,0.9,50.0,1796,29,BRA
177,Pervis Estupinán,Brighton and Hove Albion,0.9,50.0,1244,19,ECU
179,Danny Welbeck,Brighton and Hove Albion,0.9,48.6,1703,29,ENG
180,Jarrad Branthwaite,Everton,0.9,48.5,3117,35,ENG
181,Enzo Fernández,Chelsea,0.9,44.0,2214,28,ARG
182,Marc Guehi,Crystal Palace,0.8,67.9,2022,25,ENG
183,Craig Dawson,Wolverhampton Wanderers,0.8,66.7,2211,25,ENG
183,Harry Wilson,Fulham,0.8,66.7,1614,35,WAL
183,Jarrod Bowen,West Ham United,0.8,66.7,3020,34,ENG
183,Raul Jiménez,Fulham,0.8,66.7,1402,24,MEX
183,Zeki Amdouni,Burnley,0.8,66.7,1971,34,SUI
188,Ethan Pinnock,Brentford,0.8,65.7,2521,29,JAM
189,Kyle Walker,Manchester City,0.8,63.2,2767,32,ENG
190,Dwight McNeil,Everton,0.8,61.4,2897,35,ENG
191,Dominik Szoboszlai,Liverpool,0.8,59.4,2109,33,HUN
192,Diego Carlos,Aston Villa,0.8,59.3,1811,27,BRA
193,Ben White,Arsenal,0.8,58.3,2995,37,ENG
193,Gabriel,Arsenal,0.8,58.3,3044,36,BRA
195,James Maddison,Tottenham Hotspur,0.8,57.6,2152,28,ENG
196,Charlie Taylor,Burnley,0.8,57.1,2332,28,ENG
197,Toti Gomes,Wolverhampton Wanderers,0.8,56.8,2774,35,POR
198,Jacob Murphy,Newcastle United,0.8,50.0,1193,21,ENG
199,Timothy Castagne,Fulham,0.8,49.0,2633,34,BEL
200,Bernardo Silva,Manchester City,0.8,45.1,2581,33,POR
201,Simon Adingra,Brighton and Hove Albion,0.8,44.4,2230,31,CIV
202,Teden Mengi,Luton Town,0.8,40.7,2470,30,ENG
203,Antoine Semenyo,Bournemouth,0.7,70.8,2111,33,GHA
204,Richarlison,Tottenham Hotspur,0.7,68.8,1492,28,BRA
205,Morgan Gibbs-White,Nottingham Forest,0.7,66.7,3160,37,ENG
205,Victor Nilsson Lindelöf,Manchester United,0.7,66.7,1332,19,SWE
207,Pablo Sarabia,Wolverhampton Wanderers,0.7,65.0,1748,30,ESP
208,William Saliba,Arsenal,0.7,63.4,3420,38,FRA
209,Pau Torres,Aston Villa,0.7,62.1,2463,29,ESP
210,Billy Gilmour,Brighton and Hove Albion,0.7,61.5,2125,30,SCO
210,Jack Grealish,Manchester City,0.7,61.5,1003,20,ENG
210,Nathan Aké,Manchester City,0.7,61.5,2044,29,NED
213,Raphaël Varane,Manchester United,0.7,61.1,1371,22,FRA
214,Alex Iwobi,Fulham,0.7,58.1,2342,32,NGA
215,Anthony Elanga,Nottingham Forest,0.7,57.6,2434,36,SWE
215,Axel Disasi,Chelsea,0.7,57.6,2581,31,FRA
217,Virgil van Dijk,Liverpool,0.7,57.5,3178,36,NED
218,Fabian Schär,Newcastle United,0.7,57.1,3054,36,SUI
218,Mykhaylo Mudryk,Chelsea,0.7,57.1,1578,31,UKR
220,Nayef Aguerd,West Ham United,0.7,53.8,1859,21,MAR
221,Michael Olise,Crystal Palace,0.7,52.6,1277,19,FRA
221,Nathan Collins,Brentford,0.7,52.6,2649,32,IRL
223,Ruben Dias,Manchester City,0.7,51.3,2557,30,POR
224,Justin Kluivert,Bournemouth,0.7,50.0,1934,32,NED
224,Odsonne Edouard,Crystal Palace,0.7,50.0,1552,30,FRA
226,Eberechi Eze,Crystal Palace,0.7,48.6,2065,27,ENG
227,Orel Mangala,Nottingham Forest,0.7,48.1,1569,20,BEL
228,Takehiro Tomiyasu,Arsenal,0.7,45.0,1143,22,JPN
229,Lucas Digne,Aston Villa,0.7,40.4,2410,33,FRA
229,Ross Barkley,Luton Town,0.7,40.4,2622,32,ENG
231,Taiwo Awoniyi,Nottingham Forest,0.6,77.8,1046,20,NGA
232,Wilson Odobert,Burnley,0.6,76.5,2107,29,FRA
233,Cameron Archer,Sheffield United,0.6,72.2,1839,30,ENG
234,Jean-Philippe Mateta,Crystal Palace,0.6,68.2,2283,35,FRA
235,Divock Origi,Nottingham Forest,0.6,66.7,599,20,BEL
236,Phil Foden,Manchester City,0.6,64.5,2865,35,ENG
237,Edward Nketiah,Arsenal,0.6,58.3,1073,27,ENG
238,Yoane Wissa,Brentford,0.6,57.1,2508,34,COD
239,Gustavo Hamer,Sheffield United,0.6,53.8,2923,36,NED
240,Brennan Johnson,Tottenham Hotspur,0.6,53.3,2330,35,WAL
240,Matheus Cunha,Wolverhampton Wanderers,0.6,53.3,2453,32,BRA
242,Tosin Adarabioyo,Fulham,0.6,52.4,1617,20,ENG
243,Dara O'Shea,Burnley,0.6,51.3,2894,33,IRL
244,Joao Pedro,Brighton and Hove Albion,0.6,45.2,2043,31,BRA
245,Max Kilman,Wolverhampton Wanderers,0.6,44.7,3420,38,ENG
246,Beto,Everton,0.6,42.9,939,30,POR
247,Ben Osborn,Sheffield United,0.6,40.9,1359,24,ENG
248,Kurt Zouma,West Ham United,0.5,73.9,2838,33,FRA
249,Alejandro Garnacho,Manchester United,0.5,68.2,2573,36,ARG
250,Bryan Mbeumo,Brentford,0.5,66.7,1959,25,CMR
251,Marcus Rashford,Manchester United,0.5,63.2,2278,33,ENG
252,Willian,Fulham,0.5,61.1,2054,31,BRA
253,Ansu Fati,Brighton and Hove Albion,0.5,60.0,513,19,ESP
254,Chiedozie Ogbene,Luton Town,0.5,58.8,1993,30,IRL
255,Darwin Nunez,Liverpool,0.5,54.5,2046,36,URU
256,Lyle Foster,Burnley,0.5,52.6,1906,24,RSA
257,Thiago Silva,Chelsea,0.5,51.7,2527,31,BRA
258,Raheem Sterling,Chelsea,0.5,47.6,1981,31,ENG
259,Kai Havertz,Arsenal,0.5,42.9,2639,37,GER
260,Oliver McBurnie,Sheffield United,0.5,41.2,1283,21,SCO
261,Matheus Nunes,Manchester City,0.5,38.5,833,19,POR
262,Martin Ødegaard,Arsenal,0.5,34.7,3098,35,NOR
263,Danny Ings,West Ham United,0.5,33.3,390,20,ENG
264,Neal Maupay,Brentford,0.4,70.0,1424,31,FRA
265,Mohamed Salah,Liverpool,0.4,64.7,2535,32,EGY
266,Heung-Min Son,Tottenham Hotspur,0.4,61.9,2946,35,KOR
266,Nicolas Jackson,Chelsea,0.4,61.9,2804,35,SEN
268,Julián Álvarez,Manchester City,0.4,54.2,2657,36,ARG
269,Michail Antonio,West Ham United,0.4,53.3,1710,26,JAM
270,Cole Palmer,Chelsea,0.4,52.2,2624,34,ENG
271,Lewis Dunk,Brighton and Hove Albion,0.4,51.9,2872,33,ENG
272,Hee-Chan Hwang,Wolverhampton Wanderers,0.4,50.0,2124,29,KOR
273,Andreas Pereira,Fulham,0.4,48.0,2637,37,BRA
274,Kaoru Mitoma,Brighton and Hove Albion,0.4,46.2,1488,19,JPN
275,Callum Hudson-Odoi,Nottingham Forest,0.4,44.4,1854,29,ENG
276,Evan Ferguson,Brighton and Hove Albion,0.4,42.9,1365,27,IRL
277,Keane Lewis-Potter,Brentford,0.4,41.2,1441,30,ENG
278,Pelly-Ruddock Mpanzu,Luton Town,0.4,38.5,1093,27,COD
279,Rasmus Højlund,Manchester United,0.3,63.6,2169,30,DEN
280,Callum Wilson,Newcastle United,0.3,60.0,985,20,ENG
281,Leon Bailey,Aston Villa,0.3,53.8,2072,35,JAM
282,Carlton Morris,Luton Town,0.3,53.3,2867,38,ENG
283,Dominic Solanke,Bournemouth,0.3,47.8,3331,38,ENG
284,Jacob Bruun Larsen,Burnley,0.3,44.4,1248,32,DEN
285,Adam Lallana,Brighton and Hove Albion,0.3,37.5,846,25,ENG
286,Johann Berg Gudmundsson,Burnley,0.3,30.8,1191,26,ISL
287,William Osula,Sheffield United,0.2,100.0,783,21,DEN
288,Ollie Watkins,Aston Villa,0.2,58.3,3221,37,ENG
289,Chris Wood,Nottingham Forest,0.2,57.1,1806,31,NZL
290,Dominic Calvert-Lewin,Everton,0.2,46.2,2185,32,ENG
291,Pedro Neto,Wolverhampton Wanderers,0.2,42.9,1518,20,POR
291,Rodrigo Muniz,Fulham,0.2,42.9,1597,26,BRA
293,Moussa Diaby,Aston Villa,0.2,41.7,2184,38,FRA
294,Wesley Foderingham,Sheffield United,0.1,60.0,2648,30,ENG
295,Erling Haaland,Manchester City,0.1,50.0,2556,31,NOR
296,Elijah Adebayo,Luton Town,0.1,25.0,1418,27,ENG
297,Harvey Barnes,Newcastle United,0.1,16.7,794,21,ENG
298,Alphonse Areola,West Ham United,0.0,100.0,2699,31,FRA
298,Bart Verbruggen,Brighton and Hove Albion,0.0,100.0,1890,21,NED
298,David Raya,Arsenal,0.0,100.0,2880,32,ESP
298,Mark Flekken,Brentford,0.0,100.0,3285,37,NED
302,James Trafford,Burnley,0.0,50.0,2520,28,ENG
302,Thomas Kaminski,Luton Town,0.0,50.0,3406,38,BEL
