Rank,Player,Team,Successful Dribbles per 90,Dribble Success Rate (%),Minutes,Matches,Country
51,Hee-Chan Hwang,Wolverhampton Wanderers,1.5,54.5,2124,29,KOR
52,Michail Antonio,West Ham United,1.5,52.7,1710,26,JAM
53,Dango Ouattara,Bournemouth,1.5,51.2,1220,30,BFA
54,Cameron Archer,Sheffield United,1.5,50.8,1839,30,ENG
55,Phil Foden,Manchester City,1.5,50.5,2865,35,ENG
56,Bukayo Saka,Arsenal,1.5,47.6,2933,35,ENG
57,Ola Aina,Nottingham Forest,1.4,65.9,1700,22,NGA
58,Leandro Trossard,Arsenal,1.4,61.0,1646,34,BEL
59,Lucas Paquetá,West Ham United,1.4,58.6,2634,31,BRA
60,Kobbie Mainoo,Manchester United,1.4,58.5,1939,24,ENG
61,Danny Ings,West Ham United,1.4,50.0,390,20,ENG
62,Beto,Everton,1.4,46.9,939,30,POR
63,Divock Origi,Nottingham Forest,1.4,42.9,599,20,BEL
64,Jacob Bruun Larsen,Burnley,1.4,39.2,1248,32,DEN
65,Nicolo Zaniolo,Aston Villa,1.4,30.2,830,25,ITA
66,Rodri,Manchester City,1.3,75.0,2938,34,ESP
67,Bernardo Silva,Manchester City,1.3,64.4,2581,33,POR
68,Willian,Fulham,1.3,53.7,2054,31,BRA
69,James Maddison,Tottenham Hotspur,1.3,48.5,2152,28,ENG
70,Callum Wilson,Newcastle United,1.3,48.3,985,20,ENG
71,Álex Moreno,Aston Villa,1.3,46.9,1030,21,ESP
72,Morgan Gibbs-White,Nottingham Forest,1.3,44.4,3160,37,ENG
73,Keane Lewis-Potter,Brentford,1.3,38.9,1441,30,ENG
74,Zeki Amdouni,Burnley,1.3,38.2,1971,34,SUI
75,Mateo Kovacic,Manchester City,1.2,74.1,1548,30,CRO
76,Yves Bissouma,Tottenham Hotspur,1.2,69.2,2081,28,MLI
77,Valentino Livramento,Newcastle United,1.2,68.0,1305,26,ENG
78,Joelinton,Newcastle United,1.2,60.7,1282,20,BRA
79,Curtis Jones,Liverpool,1.2,60.0,1167,23,ENG
80,Trent Alexander-Arnold,Liverpool,1.2,57.1,2159,28,ENG
81,Andros Townsend,Luton Town,1.2,53.3,1209,27,ENG
82,Heung-Min Son,Tottenham Hotspur,1.2,45.3,2946,35,KOR
83,Moussa Diaby,Aston Villa,1.2,43.9,2184,38,FRA
84,Jack Harrison,Everton,1.2,42.6,2219,29,ENG
85,Diogo Jota,Liverpool,1.2,41.7,1150,21,POR
86,Alex Scott,Bournemouth,1.2,39.4,1010,23,ENG
87,Facundo Buonanotte,Brighton and Hove Albion,1.2,39.1,1368,27,ARG
88,Bryan Mbeumo,Brentford,1.2,38.2,1959,25,CMR
89,Boubacar Traore,Wolverhampton Wanderers,1.1,71.4,804,24,MLI
90,Conor Gallagher,Chelsea,1.1,67.9,3135,37,ENG
91,Andre Brooks,Sheffield United,1.1,52.2,942,20,ENG
92,Miguel Almiron,Newcastle United,1.1,51.1,1945,33,PAR
93,Martin Ødegaard,Arsenal,1.1,49.3,3098,35,NOR
94,Jeffrey Schlupp,Crystal Palace,1.1,45.9,1355,29,GHA
95,Odsonne Edouard,Crystal Palace,1.1,44.2,1552,30,FRA
96,Tahith Chong,Luton Town,1.1,43.9,1986,33,NED
97,Dominic Solanke,Bournemouth,1.1,39.4,3331,38,ENG
98,Justin Kluivert,Bournemouth,1.1,36.9,1934,32,NED
99,Elijah Adebayo,Luton Town,1.1,28.1,1418,27,ENG
100,Edson Álvarez,West Ham United,1.0,65.9,2383,31,MEX
101,Josko Gvardiol,Manchester City,1.0,65.0,2328,28,CRO
102,Carlton Morris,Luton Town,1.0,60.8,2867,38,ENG
103,Alfie Doughty,Luton Town,1.0,57.9,2937,37,ENG
103,Rodrigo Bentancur,Tottenham Hotspur,1.0,57.9,1007,23,URU
105,Max Aarons,Bournemouth,1.0,53.8,1234,20,ENG
106,Antonee Robinson,Fulham,1.0,51.4,3270,37,USA
106,Neco Williams,Nottingham Forest,1.0,51.4,1634,26,WAL
108,Jacob Murphy,Newcastle United,1.0,50.0,1193,21,ENG
108,Vitinho,Burnley,1.0,50.0,2316,32,BRA
110,Dominik Szoboszlai,Liverpool,1.0,47.1,2109,33,HUN
111,Mikkel Damsgaard,Brentford,1.0,45.0,835,23,DEN
112,Hugo Bueno,Wolverhampton Wanderers,1.0,42.1,730,22,ESP
113,Jean-Philippe Mateta,Crystal Palace,1.0,41.0,2283,35,FRA
114,Anthony Elanga,Nottingham Forest,1.0,40.0,2434,36,SWE
115,Brennan Johnson,Tottenham Hotspur,1.0,39.1,2330,35,WAL
116,Jarrod Bowen,West Ham United,1.0,38.2,3020,34,ENG
117,Mohamed Salah,Liverpool,1.0,35.5,2535,32,EGY
118,Igor,Brighton and Hove Albion,0.9,76.2,1636,24,BRA
119,Aaron Wan-Bissaka,Manchester United,0.9,65.4,1781,22,ENG
119,Danilo,Nottingham Forest,0.9,65.4,1796,29,BRA
121,Diogo Dalot,Manchester United,0.9,63.3,3173,36,POR
122,Enzo Fernández,Chelsea,0.9,57.5,2214,28,ARG
123,Abdoulaye Doucouré,Everton,0.9,54.3,2637,32,MLI
124,Joao Gomes,Wolverhampton Wanderers,0.9,53.1,2658,34,BRA
125,Sergio Reguilon,Brentford,0.9,51.6,1534,25,ESP
126,Lyle Foster,Burnley,0.9,51.4,1906,24,RSA
127,Gustavo Hamer,Sheffield United,0.9,50.0,2923,36,NED
127,Issa Kaboré,Luton Town,0.9,50.0,1732,24,BFA
129,Dwight McNeil,Everton,0.9,49.2,2897,35,ENG
130,Destiny Udogie,Tottenham Hotspur,0.9,48.0,2398,28,ITA
131,Malo Gusto,Chelsea,0.9,45.9,1755,27,FRA
132,Frank Onyeka,Brentford,0.9,44.0,1155,26,NGA
133,Pablo Sarabia,Wolverhampton Wanderers,0.9,43.6,1748,30,ESP
134,Ansu Fati,Brighton and Hove Albion,0.9,35.7,513,19,ESP
135,Emerson Royal,Tottenham Hotspur,0.8,62.5,1155,22,BRA
136,Youri Tielemans,Aston Villa,0.8,60.0,1620,32,BEL
137,Mario Lemina,Wolverhampton Wanderers,0.8,56.8,2974,35,GAB
138,Joseph Gomez,Liverpool,0.8,55.6,1779,32,ENG
139,Pierre-Emile Højbjerg,Tottenham Hotspur,0.8,54.5,1293,36,DEN
140,Boubacar Kamara,Aston Villa,0.8,53.8,1659,20,FRA
141,Pape Sarr,Tottenham Hotspur,0.8,52.8,2085,34,SEN
142,Moisés Caicedo,Chelsea,0.8,52.0,2872,35,ECU
142,Pedro Porro,Tottenham Hotspur,0.8,52.0,3092,35,ESP
144,Harry Wilson,Fulham,0.8,48.4,1614,35,WAL
145,Jayden Bogle,Sheffield United,0.8,48.1,2792,34,ENG
146,Philip Billing,Bournemouth,0.8,40.0,1393,29,DEN
147,Harvey Barnes,Newcastle United,0.8,33.3,794,21,ENG
147,Jordan Clark,Luton Town,0.8,33.3,1306,23,ENG
149,Toti Gomes,Wolverhampton Wanderers,0.7,82.1,2774,35,POR
150,Jay Rodriguez,Burnley,0.7,66.7,813,21,ENG
151,Kyle Walker,Manchester City,0.7,65.6,2767,32,ENG
152,Carlos Baleba,Brighton and Hove Albion,0.7,64.7,1321,27,CMR
153,Vitalii Mykolenko,Everton,0.7,62.1,2471,28,UKR
154,Douglas Luiz,Aston Villa,0.7,60.0,3001,35,BRA
154,Lewis Cook,Bournemouth,0.7,60.0,2792,33,ENG
154,Pelly-Ruddock Mpanzu,Luton Town,0.7,60.0,1093,27,COD
157,Taiwo Awoniyi,Nottingham Forest,0.7,53.3,1046,20,NGA
158,Orel Mangala,Nottingham Forest,0.7,50.0,1569,20,BEL
158,Pervis Estupinán,Brighton and Hove Albion,0.7,50.0,1244,19,ECU
158,Rasmus Højlund,Manchester United,0.7,50.0,2169,30,DEN
161,Julián Álvarez,Manchester City,0.7,47.6,2657,36,ARG
162,Yoane Wissa,Brentford,0.7,46.5,2508,34,COD
163,Ollie Watkins,Aston Villa,0.7,45.6,3221,37,ENG
164,Mathias Jensen,Brentford,0.7,43.9,2217,32,DEN
165,Darwin Nunez,Liverpool,0.7,42.9,2046,36,URU
165,Emerson,West Ham United,0.7,42.9,3142,36,ITA
167,Edward Nketiah,Arsenal,0.7,34.8,1073,27,ENG
168,Ezri Konsa,Aston Villa,0.6,76.0,3073,35,ENG
169,Sofyan Amrabat,Manchester United,0.6,75.0,931,21,MAR
170,Kieran Trippier,Newcastle United,0.6,72.7,2240,28,ENG
171,Pau Torres,Aston Villa,0.6,65.4,2463,29,ESP
172,Timothy Castagne,Fulham,0.6,63.0,2633,34,BEL
173,Micky van de Ven,Tottenham Hotspur,0.6,62.5,2342,27,NED
174,Vinicius de Souza Costa,Sheffield United,0.6,60.7,2672,36,BRA
175,Alexis Mac Allister,Liverpool,0.6,60.0,2609,33,ARG
176,Murillo,Nottingham Forest,0.6,57.1,2793,32,BRA
177,Sander Berge,Burnley,0.6,55.6,3005,37,NOR
178,James Garner,Everton,0.6,54.3,3005,37,ENG
179,Declan Rice,Arsenal,0.6,51.2,3230,38,ENG
180,Harvey Elliott,Liverpool,0.6,47.4,1336,34,ENG
181,Andreas Pereira,Fulham,0.6,46.3,2637,37,BRA
182,Raul Jiménez,Fulham,0.6,45.5,1402,24,MEX
183,Tariq Lamptey,Brighton and Hove Albion,0.6,42.9,912,19,GHA
184,Nathan Patterson,Everton,0.6,41.2,999,20,SCO
185,Dominic Calvert-Lewin,Everton,0.6,35.0,2185,32,ENG
186,Neal Maupay,Brentford,0.6,31.0,1424,31,FRA
187,Richarlison,Tottenham Hotspur,0.6,30.3,1492,28,BRA
188,Kristoffer Vassbakk Ajer,Brentford,0.5,83.3,1833,28,NOR
189,Levi Colwill,Chelsea,0.5,69.2,1798,23,ENG
190,Wataru Endo,Liverpool,0.5,66.7,1719,29,JPN
191,Amadou Onana,Everton,0.5,60.0,2090,30,BEL
192,Nathaniel Clyne,Crystal Palace,0.5,57.1,1337,19,ENG
193,Pascal Gross,Brighton and Hove Albion,0.5,55.2,3114,36,GER
194,Evan Ferguson,Brighton and Hove Albion,0.5,53.8,1365,27,IRL
195,Tyrick Mitchell,Crystal Palace,0.5,51.4,3208,37,ENG
196,Ashley Young,Everton,0.5,50.0,2288,31,ENG
196,Ben Osborn,Sheffield United,0.5,50.0,1359,24,ENG
196,Idrissa Gana Gueye,Everton,0.5,50.0,1892,25,SEN
196,Milos Kerkez,Bournemouth,0.5,50.0,1975,28,HUN
200,Bruno Fernandes,Manchester United,0.5,47.5,3119,35,POR
201,Matt Doherty,Wolverhampton Wanderers,0.5,46.2,1142,30,IRL
202,Kai Havertz,Arsenal,0.5,45.7,2639,37,GER
203,Mads Roerslev,Brentford,0.5,42.3,1987,34,DEN
204,Amari'i Bell,Luton Town,0.5,40.0,1722,21,JAM
204,Bobby Reid,Fulham,0.5,40.0,1424,33,JAM
206,Matty Cash,Aston Villa,0.5,37.5,2142,29,POL
207,Jacob Brown,Luton Town,0.5,27.3,1020,19,SCO
208,Calvin Bassey,Fulham,0.4,84.6,2301,29,NGA
208,Nathan Collins,Brentford,0.4,84.6,2649,32,IRL
210,James Tarkowski,Everton,0.4,80.0,3419,38,ENG
211,Will Hughes,Crystal Palace,0.4,75.0,1899,30,ENG
212,Axel Disasi,Chelsea,0.4,70.6,2581,31,FRA
213,Joachim Andersen,Crystal Palace,0.4,70.0,3416,38,DEN
214,Cauley Woodrow,Luton Town,0.4,66.7,409,24,ENG
214,Joel Ward,Crystal Palace,0.4,66.7,1982,26,ENG
216,Jefferson Lerma,Crystal Palace,0.4,64.7,2403,28,COL
217,Sasa Lukic,Fulham,0.4,62.5,1119,24,SRB
218,Fabian Schär,Newcastle United,0.4,61.9,3054,36,SUI
219,Oleksandr Zinchenko,Arsenal,0.4,58.3,1722,27,UKR
220,Marcos Senesi,Bournemouth,0.4,57.9,2247,31,ARG
221,Anel Ahmedhodzic,Sheffield United,0.4,55.0,2649,31,BIH
221,Joao Palhinha,Fulham,0.4,55.0,2709,33,POR
223,Casemiro,Manchester United,0.4,52.9,1985,25,BRA
224,Sean Longstaff,Newcastle United,0.4,50.0,2746,35,ENG
225,Nicolás Dominguez,Nottingham Forest,0.4,46.7,1503,26,ARG
226,Scott McTominay,Manchester United,0.4,44.4,1891,32,SCO
227,Erling Haaland,Manchester City,0.4,42.9,2556,31,NOR
228,Johann Berg Gudmundsson,Burnley,0.4,41.7,1191,26,ISL
229,Jhon Duran,Aston Villa,0.4,40.0,462,23,COL
230,Lucas Digne,Aston Villa,0.4,38.5,2410,33,FRA
231,Oliver McBurnie,Sheffield United,0.4,37.5,1283,21,SCO
232,Danny Welbeck,Brighton and Hove Albion,0.4,33.3,1703,29,ENG
233,Saman Ghoddos,Brentford,0.4,27.3,729,19,IRN
234,Ibrahima Konaté,Liverpool,0.3,85.7,1571,22,FRA
235,Max Kilman,Wolverhampton Wanderers,0.3,76.9,3420,38,ENG
236,William Saliba,Arsenal,0.3,71.4,3420,38,FRA
237,Teden Mengi,Luton Town,0.3,70.0,2470,30,ENG
238,Jonny Evans,Manchester United,0.3,66.7,1396,23,NIR
238,Oliver Skipp,Tottenham Hotspur,0.3,66.7,694,21,ENG
240,Marc Guehi,Crystal Palace,0.3,63.6,2022,25,ENG
241,James Ward-Prowse,West Ham United,0.3,61.1,3005,37,ENG
242,Charlie Taylor,Burnley,0.3,60.0,2332,28,ENG
243,Gabriel Osho,Luton Town,0.3,58.3,1848,21,ENG
244,Josh Brownhill,Burnley,0.3,53.8,2251,33,ENG
245,Harrison Reed,Fulham,0.3,50.0,1324,27,ENG
246,Ben White,Arsenal,0.3,42.9,2995,37,ENG
247,Chris Wood,Nottingham Forest,0.3,40.0,1806,31,NZL
248,Vladimir Coufal,West Ham United,0.3,38.7,3136,36,CZE
249,Billy Gilmour,Brighton and Hove Albion,0.3,38.1,2125,30,SCO
250,Takehiro Tomiyasu,Arsenal,0.3,36.4,1143,22,JPN
251,Andrew Robertson,Liverpool,0.3,29.4,1691,23,SCO
252,Rodrigo Muniz,Fulham,0.3,27.8,1597,26,BRA
253,Adam Lallana,Brighton and Hove Albion,0.3,25.0,846,25,ENG
254,William Osula,Sheffield United,0.3,20.0,783,21,DEN
255,Moussa Niakhaté,Nottingham Forest,0.2,100.0,1457,21,SEN
256,Cristian Romero,Tottenham Hotspur,0.2,83.3,2792,33,ARG
257,Illia Zabarnyi,Bournemouth,0.2,81.8,3330,37,UKR
258,Jan Paul van Hecke,Brighton and Hove Albion,0.2,71.4,2368,28,NED
258,Lewis Dunk,Brighton and Hove Albion,0.2,71.4,2872,33,ENG
260,Ethan Pinnock,Brentford,0.2,66.7,2521,29,JAM
260,Jakub Kiwior,Arsenal,0.2,66.7,945,20,POL
260,Reece Burke,Luton Town,0.2,66.7,1663,22,ENG
263,Jack Robinson,Sheffield United,0.2,62.5,2885,34,ENG
263,Nathan Aké,Manchester City,0.2,62.5,2044,29,NED
265,Christian Nørgaard,Brentford,0.2,60.0,2513,31,DEN
265,Willy Boly,Nottingham Forest,0.2,60.0,1443,20,CIV
267,Auston Trusty,Sheffield United,0.2,54.5,2572,32,USA
268,Vitaly Janelt,Brentford,0.2,53.3,3069,38,GER
269,Christian Eriksen,Manchester United,0.2,50.0,1139,22,DEN
269,Ryan Yates,Nottingham Forest,0.2,50.0,1986,35,ENG
271,Jorginho,Arsenal,0.2,40.0,919,24,ITA
272,Marc Cucurella,Chelsea,0.2,36.4,1784,21,ESP
273,Adam Smith,Bournemouth,0.2,33.3,2156,28,ENG
274,Craig Dawson,Wolverhampton Wanderers,0.1,100.0,2211,25,ENG
274,James Trafford,Burnley,0.1,100.0,2520,28,ENG
274,José Sá,Wolverhampton Wanderers,0.1,100.0,3038,35,POR
274,Lloyd Kelly,Bournemouth,0.1,100.0,1556,23,ENG
274,Neto,Bournemouth,0.1,100.0,2880,32,BRA
274,Thiago Silva,Chelsea,0.1,100.0,2527,31,BRA
274,Thomas Kaminski,Luton Town,0.1,100.0,3406,38,BEL
274,Tosin Adarabioyo,Fulham,0.1,100.0,1617,20,ENG
274,Victor Nilsson Lindelöf,Manchester United,0.1,100.0,1332,19,SWE
274,Wesley Foderingham,Sheffield United,0.1,100.0,2648,30,ENG
284,Mark Flekken,Brentford,0.1,75.0,3285,37,NED
285,Jarrad Branthwaite,Everton,0.1,71.4,3117,35,ENG
286,Daniel Burn,Newcastle United,0.1,66.7,2732,33,ENG
286,Kurt Zouma,West Ham United,0.1,66.7,2838,33,FRA
288,Nayef Aguerd,West Ham United,0.1,60.0,1859,21,MAR
289,Diego Carlos,Aston Villa,0.1,50.0,1811,27,BRA
289,Gabriel,Arsenal,0.1,50.0,3044,36,BRA
289,Konstantinos Mavropanos,West Ham United,0.1,50.0,1501,19,GRE
289,Manuel Akanji,Manchester City,0.1,50.0,2513,30,SUI
289,Oliver Norwood,Sheffield United,0.1,50.0,1433,27,NIR
289,Raphaël Varane,Manchester United,0.1,50.0,1371,22,FRA
289,Thomas Doyle,Wolverhampton Wanderers,0.1,50.0,1213,26,ENG
289,Virgil van Dijk,Liverpool,0.1,50.0,3178,36,NED
297,Josh Cullen,Burnley,0.1,37.5,2059,25,IRL
298,Tomas Soucek,West Ham United,0.1,36.4,2874,37,CZE
299,Harry Toffolo,Nottingham Forest,0.1,33.3,1455,23,ENG
300,Joel Veltman,Brighton and Hove Albion,0.1,16.7,1582,27,NED
301,Alphonse Areola,West Ham United,0.0,100.0,2699,31,FRA
301,Andre Onana,Manchester United,0.0,100.0,3420,38,CMR
301,Bart Verbruggen,Brighton and Hove Albion,0.0,100.0,1890,21,NED
301,Chris Richards,Crystal Palace,0.0,100.0,2091,26,USA
301,Ederson Moraes,Manchester City,0.0,100.0,2788,33,BRA
301,Jordan Pickford,Everton,0.0,100.0,3420,38,ENG
307,Dara O'Shea,Burnley,0.0,50.0,2894,33,IRL
